feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
STAG2,0.11353892063856243,-0.4348943085266569,0.4782457533899611,-0.4418315021250332,-0.26103152670228763
SFTA2,0.1129914621301451,0.4355696207457513,0.4782457533899611,-0.23851970270733885,-0.3059970762888773
H4C16,0.11377818771719223,0.434599989072055,0.4782457533899611,-0.08415797572184736,-0.1564994188705448
CYCS,0.11522605489743776,0.4328295738401441,0.4782457533899611,-0.5706127499292666,-0.7595846940609687
MEGF6,0.11593671279101286,0.43196716053375966,0.4782457533899611,0.1058091107367109,0.0392652959421159
POLQ,0.11621524510704268,0.4316303125097799,0.4782457533899611,-0.2774474174633078,-0.36764372075439744
KCNN3,0.11646399175817707,0.43133003603988906,0.4782457533899611,0.04717226673760139,-0.0021603103272347787
WNT3,0.11546186143011193,0.4325429381939417,0.4782457533899611,0.07109332639816779,0.02716200514176401
GPRC5C,0.11822310857184298,0.42922112524508305,0.48035915693401465,0.09507550539704616,0.048656353841376336
CDAN1,0.1182075509451004,-0.4292396653723377,0.48035915693401465,-0.7618420958800189,-0.5236635864873028
TIFA,0.11948333680859548,0.4277257801932963,0.48293788490175765,0.14669007032077014,0.09798580157551028
SCRT1,0.12135308351536463,0.4255303863365469,0.4864916318969157,-0.11161708565006973,-0.18650591425342164
IRAG2,0.12162290797422892,0.4252158138078683,0.4864916318969157,0.03159538081991497,-0.042398906157207206
ANGPTL5,0.12294481205922997,0.42368272285420655,0.4866004326191505,-0.016740845757979555,-0.05896857487080124
TPM3,0.12354104247843717,0.42299555919957105,0.4866004326191505,-0.004836191969160485,-0.08708255794656583
VAC14,0.12228321942056823,0.42444835017853927,0.4866004326191505,-0.16260689139754445,-0.28665619500364936
ACSL3,0.12452002621537961,0.4218730060132615,0.4879668032399647,-0.27501915957175754,-0.4177041097232678
TOPORS,0.1263634477584725,-0.4197782705330007,0.4902139782388983,0.005054957629850614,0.055517298771577475
FSTL3,0.12573337530971532,0.4204914762423157,0.4902139782388983,0.08050613375590336,0.023843915747700055
TMPRSS9,0.1278019618607173,0.41816053941310644,0.4933155727823688,-0.0738288915071156,-0.13185013281388827
PANK4,0.13367693583618892,0.41170058699872086,0.5009640508035818,0.0629879566594758,0.019720692209554462
TRUB1,0.13098746530263156,-0.41462921086799076,0.5009640508035818,-0.025631845441151706,0.02333451317042979
MECOM,0.13199663647189,0.41352474837569647,0.5009640508035818,0.04283940764307691,-0.03529495724322486
HSBP1,0.13349136611866036,0.4119011470517823,0.5009640508035818,-0.23397610388700182,-0.29648619577874424
LIPT1,0.1336235475705575,0.41175826531409,0.5009640508035818,-0.08101766049526925,-0.17735463468784923
MAMSTR,0.1313767387502414,-0.4142023810181707,0.5009640508035818,-0.006753812773629332,0.050721959640703425
RHPN2,0.13490303583957763,0.41038096625690274,0.5031166360780384,0.00470865269415002,-0.05257667950546523
ICAM3,0.13700889234290944,0.40813650948802205,0.5050684505292221,0.02876414731853848,-0.03167047904547626
GP6,0.13738908628385577,0.4077342079304068,0.5050684505292221,0.006765998877694846,-0.04314719695622987
RNF121,0.13737449916153072,0.40774962700717343,0.5050684505292221,-0.07753671718570657,-0.1259283373023355
TEX264,0.13944815233383914,0.4055705794675755,0.5078682527462942,0.005366080382796125,-0.04802796528694529
PPARG,0.14071377919479117,0.4042531758213701,0.5078682527462942,0.020901780017693453,-0.06923557701975216
KCNE2,0.14078213223796238,0.4041822930152364,0.5078682527462942,0.1317214246769242,0.07717173636006934
YLPM1,0.14023289955468438,-0.40475262229310816,0.5078682527462942,-0.31709420957906365,-0.2590350171281574
SDF4,0.14314432130440274,0.40174918537873155,0.5131014551303872,0.0700752328637425,0.02151269846974635
ARRDC4,0.14356206516601508,0.4013221962189677,0.5131014551303872,0.09373335247184067,0.04404031337690709
ARID2,0.1451463510963177,0.39971167741773533,0.5163731937620151,-0.13336924793309435,-0.27166021492303244
NRAS,0.1474661791101579,-0.3973781760291174,0.5177240377505284,-0.2953345581872119,-0.17029790363191852
DYNLT2B,0.1472483743669296,0.3975960340139853,0.5177240377505284,0.021216653439844975,-0.032671866906258805
USP22,0.14753793821906253,0.39730645464880415,0.5177240377505284,0.2802203335099615,0.20464291390302247
MRPL33,0.1484272120844026,-0.39641991001766264,0.5184878177789991,-0.4732636605045246,-0.28759638243124386
CFLAR,0.1491868242716204,0.3956659193576085,0.5187938213409501,-0.9384545674884743,-1.1974408745570813
AGPAT2,0.15192377452572406,0.3929738974338406,0.5235944372047276,-0.0658190744825248,-0.13089717576220272
KLHL21,0.1514080560410776,0.3934782339013769,0.5235944372047276,0.03403268234384215,-0.02981154230310602
SGO2,0.1579151562468535,-0.38721045475198,0.540646712797793,-0.31233270353769577,-0.23812845641161404
NOG,0.1596728633651513,-0.38555194037921076,0.540646712797793,-0.03536378964033996,0.003055094171935959
WDR1,0.15949062669512046,0.38572323230744127,0.540646712797793,-0.5801567054994891,-0.7491603773762723
MARK2,0.15893061154493376,0.3862505666256432,0.540646712797793,-0.4380972008313965,-0.5567432061940318
SCNN1A,0.16082026440573935,0.38447691931518185,0.542153904459523,0.0009877552822424578,-0.051445887219057566
CLIC3,0.16210463263787903,0.38328060070786746,0.5441077234627939,0.004700473993904166,-0.03396916755221594
ZDHHC14,0.16445056752699377,0.3811143011744838,0.5490736080783085,0.06347414877935482,0.030948028171758308
TNS3,0.16640863832705974,0.3793243779578106,0.5490736080783085,-0.21209248391859795,-0.30514572699908493
TLN1,0.16666540541217983,0.3790908679300281,0.5490736080783085,-0.3291037190982521,-0.45949882666421743
PRPS1,0.1667975796138378,0.37897077376460997,0.5490736080783085,0.07552077915839221,0.0036953735492437447
TAF5L,0.167550788497298,0.37828780126698985,0.5490736080783085,-0.19626381015806588,-0.35447078395918463
MYL12B,0.16785151749544144,0.37801577606851006,0.5490736080783085,0.024934281954012354,-0.03691915430751098
MAP2K1,0.1707994533650973,0.37536888376375427,0.5563594008348317,-0.10328732133535838,-0.18806503044419326
PLPP5,0.1716880384704732,0.3745779349791005,0.5569040575596862,0.10593101813490045,0.0507430738966802
ARRDC3,0.17522250146464685,0.37146259019269295,0.5640017757034247,0.20211452392457993,0.1196828008377349
LMNTD1,0.1753373395969196,0.37136218042930286,0.5640017757034247,-0.0250716961500184,-0.10041201494634684
DLGAP1,0.17957863819850647,0.3676884957670103,0.5658559538336612,0.1334080098566495,0.09449164587718908
KCTD19,0.1788704010344851,0.368297306850012,0.5658559538336612,0.011959442454155974,-0.028042573608154504
WDR24,0.17753427292732676,0.36945089009831533,0.5658559538336612,-0.2720553769581592,-0.4117698169039512
SLC20A1,0.17692081512212982,0.36998275842637457,0.5658559538336612,-0.25557199170730793,-0.31616131560440075
KCNS1,0.17867470970127122,0.36846585026863876,0.5658559538336612,0.031437216652720854,-0.01952919176148073
SEC24C,0.18094815441334922,0.3665164137526044,0.5675448513023357,-0.15454144728616734,-0.20356305132735134
KHSRP,0.18350108628388642,0.3643494347557894,0.5675448513023357,-0.24773449507234538,-0.358269687267054
MAST4,0.18383669686257847,0.3640662702601769,0.5675448513023357,-0.045882525312586936,-0.09372659572024941
TMEM201,0.18439055011335173,0.36359982577428335,0.5675448513023357,-0.1374251039993128,-0.20673899722788477
XPR1,0.1845146441278486,0.36349546216560047,0.5675448513023357,-0.21785793673320747,-0.3170931029160303
NUSAP1,0.18457952730678134,0.3634409163478208,0.5675448513023357,-0.11547299626077087,-0.17118323957698353
