feature,p-value,effect_size,q-value
NECTIN1,5.864938703393362e-12,0.41733664394795095,6.471706435917268e-10
NOTCH3,5.959359503435626e-12,0.4171987270134011,6.495701858744832e-10
CELSR2,6.103790425118944e-12,0.41699185161157626,6.572973351772666e-10
C12orf56,6.879000677770245e-12,0.41595747460245214,7.319584292608387e-10
DENND2C,7.448582354182876e-12,0.4152678899297027,7.832403421374888e-10
FZD6,7.628292888693584e-12,0.41506101452787786,7.928102539435261e-10
PDPN,7.812250051713673e-12,0.41485413912605307,8.025964478415726e-10
EYA2,8.32431730503208e-12,0.4143024713878535,8.359859333974913e-10
ADGRV1,9.010826924600321e-12,0.41361288671510404,8.948752339119742e-10
FBXO27,9.986725307793834e-12,0.4127164266405298,9.702320739245793e-10
KLHL13,1.1330773027277042e-11,0.41161309116413075,1.088972573309701e-09
COL4A6,1.4918411743094406e-11,0.40919954480950776,1.4035869911555557e-09
SOX2,1.5273229685910403e-11,0.4089926694076829,1.422001322215283e-09
TFAP2C,1.6133587835417942e-11,0.40850996013675833,1.4714490619690363e-09
HEY1,1.7041351962075684e-11,0.40802725086583375,1.5385414528993179e-09
TMEM79,1.9611505545717317e-11,0.40678599845488483,1.7528763656762136e-09
KLRG2,2.2735972648455438e-11,0.4054757875766609,2.0120210250682645e-09
FGF11,2.574095880151581e-11,0.40437245210026185,2.2556146055681204e-09
MICALL1,2.6142896714674877e-11,0.40423453516571195,2.2685942799588746e-09
IGF1R,2.6550976145802554e-11,0.40409661823116205,2.2818521614536848e-09
RNF217,2.7385927687287465e-11,0.40382078436206226,2.3311944920854795e-09
PRKCH,2.8246563146969592e-11,0.4035449504929625,2.3817715227133417e-09
ADAM23,2.8909358196997336e-11,0.40333807509113767,2.4148770426613286e-09
TRIM29,3.1716134747055264e-11,0.40251057348383834,2.624803818233148e-09
DYNC1I1,3.220916863169899e-11,0.4023726565492885,2.6411518277993172e-09
HOXD8,3.270970099850658e-11,0.4022347396147386,2.6578118865877438e-09
TBX1,4.0569927321190844e-11,0.4003039025310402,3.2667928864576916e-09
ADD2,4.1197253642434167e-11,0.40016598559649036,3.2876879737149696e-09
DZIP1,4.4820955781627804e-11,0.399407442456466,3.5452186086388434e-09
