feature,p-value,effect_size,q-value
DDR1,3.5303500728580506e-06,0.5217340393814771,0.00048300115066567237
WNK2,3.5303500728580506e-06,0.5217340393814771,0.00048300115066567237
SPTBN1,3.7219022735435474e-06,0.520503534571615,0.0005014339940898478
ZDHHC1,3.7219022735435474e-06,0.520503534571615,0.0005014339940898478
WNT4,4.0280232537247e-06,0.5186577773568222,0.0005265969067036091
UGT2B17,4.0280232537247e-06,0.5186577773568222,0.0005265969067036091
PDGFD,4.0280232537247e-06,0.5186577773568222,0.0005265969067036091
SFTPA2,4.0280232537247e-06,0.5186577773568222,0.0005265969067036091
WBP2,4.358192925193238e-06,0.5168120201420291,0.0005614434082973392
LGALS4,4.473900060241884e-06,0.5161967677370982,0.0005639990154514929
RGS18,4.473900060241884e-06,0.5161967677370982,0.0005639990154514929
CLDN2,4.592546971625548e-06,0.5155815153321672,0.0005708018415649246
ARF1,4.592546971625548e-06,0.5155815153321672,0.0005708018415649246
RARA,4.838945955678622e-06,0.5143510105223051,0.000593073313692861
ITM2A,4.966845030764357e-06,0.5137357581173742,0.0006045506755031734
SHISA9,5.0979779566930045e-06,0.5131205057124433,0.0006120694759025499
SGPP2,5.3702581056608145e-06,0.5118900009025813,0.000636105270515488
HEXIM2,5.3702581056608145e-06,0.5118900009025813,0.000636105270515488
GALNT18,5.511566145267379e-06,0.5112747484976502,0.0006399580980119998
TRPM8,5.511566145267379e-06,0.5112747484976502,0.0006399580980119998
CPEB2,5.804933925349723e-06,0.5100442436877882,0.0006609759925709501
DOK1,5.804933925349723e-06,0.5100442436877882,0.0006609759925709501
RNASE7,5.957165628410754e-06,0.5094289912828573,0.0006654304821254519
TRPC6,5.957165628410754e-06,0.5094289912828573,0.0006654304821254519
AMFR,5.957165628410754e-06,0.5094289912828573,0.0006654304821254519
SYT13,6.1132137491991535e-06,0.5088137388779264,0.0006701373258361233
PF4,6.273169181112624e-06,0.5081984864729953,0.0006792341280825565
DNALI1,6.273169181112624e-06,0.5081984864729953,0.0006792341280825565
ZG16B,6.6051757908963095e-06,0.5069679816631333,0.0006980523804402932
ALDOB,6.777419123133283e-06,0.5063527292582024,0.0007119920839534483
ARRDC2,6.953954162859821e-06,0.5057374768532714,0.0007219431589430176
KAAG1,6.953954162859821e-06,0.5057374768532714,0.0007219431589430176
CXCL6,7.320307720835296e-06,0.5045069720434093,0.0007511401800291984
TCN1,7.70507606351819e-06,0.5032764672335475,0.0007770679282573289
DNM2,7.70507606351819e-06,0.5032764672335475,0.0007770679282573289
CERS2,7.70507606351819e-06,0.5032764672335475,0.0007770679282573289
SH3RF1,7.904638416145702e-06,0.5026612148286165,0.0007863634597196324
EPB41L4A,8.109136476229423e-06,0.5020459624236855,0.0007863634597196324
EPHB6,8.109136476229423e-06,0.5020459624236855,0.0007863634597196324
TRIM47,8.109136476229423e-06,0.5020459624236855,0.0007863634597196324
LTBP3,8.109136476229423e-06,0.5020459624236855,0.0007863634597196324
C4BPA,8.109136476229423e-06,0.5020459624236855,0.0007863634597196324
MGLL,8.53340550018392e-06,0.5008154576138234,0.0008229840091406886
UBASH3A,8.753415794102725e-06,0.5002002052088925,0.0008350758667573999
GRID1,8.978840561189869e-06,0.49958495280396154,0.0008519761132496775
CEACAM7,9.209806145166525e-06,0.49896970039903055,0.0008692185489628021
RNPEP,9.446441659757715e-06,0.49835444799409956,0.0008821177187992799
ACTG1,9.446441659757715e-06,0.49835444799409956,0.0008821177187992799
NLRC3,9.688879045009993e-06,0.4977391955891685,0.0008999948750809546
SERPINA3,9.93725312464914e-06,0.4971239431842375,0.0009087180331447288
NPC1L1,9.93725312464914e-06,0.4971239431842375,0.0009087180331447288
SLC4A10,1.0191701664495388e-05,0.4965086907793066,0.0009271821787457686
ADAMTS9,1.0992917091828835e-05,0.4946629335645136,0.0009749446922295835
GC,1.0992917091828835e-05,0.4946629335645136,0.0009749446922295835
CNTN2,1.1273102077764026e-05,0.4940476811595826,0.0009898456645296382
PDE6G,1.156009660512092e-05,0.4934324287546516,0.0010001183577636231
XKR9,1.156009660512092e-05,0.4934324287546516,0.0010001183577636231
