ProteinID,feature,corr,p-value,q-value
PTN6,PTN6,0.45004978640844895,0.0008153236227035369,0.011068198559532972
LGMN,LGMN,0.4461342714525341,0.0009167442749747133,0.012019536049668463
TM87B,TM87B,0.4447836451395055,0.0009542723674152181,0.012301292534579365
COBL,COBL,0.44387785038256605,0.0013996050233845197,0.01567148982388214
MY18A,MY18A,0.44060522748528386,0.0010792648307408983,0.013569570360151327
PEPL,PEPL,0.4373811156265451,0.0011855372555576095,0.01431688975963011
FAAH1,FAAH1,0.4373522263457247,0.0018811318105847717,0.018738027256084675
RM02,RM02,0.4369361392414395,0.0012009177420607294,0.01431688975963011
TAF6L,TAF6L,0.43688682327415873,0.0012026332858559462,0.01431688975963011
PARP1,PARP1,0.43606967160839794,0.0012313805935973822,0.01431688975963011
BI2L1,BI2L1,0.4345744637904218,0.001285578553068976,0.014711516644983876
NCPR,NCPR,0.43325232471895225,0.001335270747763699,0.015061068581393486
AOFA,AOFA,0.43215425587245443,0.0019298611911290062,0.019053473400894583
CTND1,CTND1,0.4306001548389808,0.0014401611723768267,0.015915522809976927
RM30,RM30,0.43050513576749994,0.00144405200724757,0.015915522809976927
RM40,RM40,0.43043011345530163,0.002021308754890538,0.01959314186511412
LAMB3,LAMB3,0.4302990060192378,0.0014525248979118447,0.015915522809976927
OCLN,OCLN,0.4302544078973311,0.0020308406496435108,0.01959314186511412
DSG2,DSG2,0.42929294351001873,0.0014945194772460159,0.016145020268277382
DHCR7,DHCR7,0.4288836215203639,0.001511913212074743,0.016218705365892695
LRRC1,LRRC1,0.42671156483745903,0.0016072725825399402,0.016692817785243137
NFXL1,NFXL1,0.4264295546538636,0.0016200392382783194,0.016692817785243137
G45IP,G45IP,0.4260729465004429,0.001636312447645939,0.016692817785243137
RM49,RM49,0.42195168163662894,0.0025293161306504733,0.022689888563846936
L2HDH,L2HDH,0.42109826740081235,0.0018790280883467197,0.018738027256084675
FA83B,FA83B,0.4197284310289415,0.0021686173280580008,0.02059874395789526
RM41,RM41,0.41953966451199304,0.001961406120142101,0.019164312027375684
COG5,COG5,0.4169396112574322,0.0028800974616911067,0.024681952548794177
DNLI3,DNLI3,0.41673745852378885,0.0021176287373093085,0.020302765518952996
41,41,0.4153593300387323,0.002198441420850376,0.02059874395789526
CADH3,CADH3,0.415038745857093,0.002726533557040045,0.023629957494347053
LCLT1,LCLT1,0.4146205359573729,0.003056461426647904,0.025620829663813578
DJB11,DJB11,0.41368757788857025,0.0023001417568134586,0.021128248233244586
PIGS,PIGS,0.4108432076172322,0.003364168434158068,0.0273717858430327
PACN3,PACN3,0.4104185316357356,0.002511154394124249,0.022659475532862343
SPIT2,SPIT2,0.4098220469324185,0.003451904003349439,0.027509470196286273
MYO5C,MYO5C,0.4097163389396492,0.00346110022678178,0.027509470196286273
AGR2,AGR2,0.40894456489182135,0.0026117866376154735,0.02302575116150653
LMTK2,LMTK2,0.4081284180522987,0.003601862871510122,0.028263783268467613
EVPL,EVPL,0.40802415967544414,0.003611278696622981,0.028263783268467613
SPRR3,SPRR3,0.4048091591376254,0.003912467764779764,0.03031174520794019
MYO5B,MYO5B,0.40468857218881726,0.004330585597270433,0.03178525505364997
C19L2,C19L2,0.4020144918449745,0.00419198588357899,0.031216050220437722
KIME,KIME,0.39938746306703926,0.0033554659961675423,0.0273717858430327
MCAF1,MCAF1,0.39919254035076407,0.0033724038620164144,0.0273717858430327
HMCS1,HMCS1,0.3986743180895774,0.0034178025069997397,0.02748298139057642
GGCT,GGCT,0.3986274396163297,0.003421935753324704,0.02748298139057642
CAMP3,CAMP3,0.39767522734141675,0.005125977093289623,0.036069948904157254
IREB2,IREB2,0.39673292038589164,0.0039476426246883665,0.03043057179031133
AMRP,AMRP,0.39574521265565227,0.0036846872972035815,0.028691930527463425
RM35,RM35,0.3955852230507276,0.004902472296990411,0.03497856978410833
SCEL,SCEL,0.39395184292159824,0.005098951289159108,0.03604512109479296
FDFT,FDFT,0.3937015594413018,0.005631031992699294,0.03822125255221557
KI13B,KI13B,0.39323310010481227,0.005187567767810592,0.036251176031562686
ZO3,ZO3,0.39314119776263867,0.005198995258763879,0.036251176031562686
COR2A,COR2A,0.39302431244188873,0.0057213052550595805,0.038325250049176404
CCAR1,CCAR1,0.3927050764134568,0.003980950295304985,0.030533888764989234
PDXD1,PDXD1,0.3922168474407722,0.004030432872714603,0.030607346667050502
MAN1,MAN1,0.3918742538872884,0.004065477505566394,0.030721391593787433
NDUBA,NDUBA,0.3909577728689239,0.004160547605690115,0.03113307330306652
LAMC2,LAMC2,0.3900901362497025,0.004252347039927389,0.03151256212197399
ODP2,ODP2,0.3894433598311705,0.004321932397399252,0.03178525505364997
ANXA9,ANXA9,0.3885098524009539,0.005301095354663533,0.036795838344135114
DUS1L,DUS1L,0.3867224840661485,0.005058925928591779,0.03592774247435088
AT1B1,AT1B1,0.3865504995126567,0.004645565510941143,0.03345679574546344
G5E9T8,G5E9T8,0.3854307363545792,0.007462487287839995,0.04560739242847232
ITB8,ITB8,0.38452725904414464,0.006372721882949443,0.04090274212738262
E7EUC7,E7EUC7,0.38431583168637967,0.007651474726545951,0.04621008752173815
DDR1,DDR1,0.3839312974074402,0.006461848736335663,0.040960644469169034
PDIA6,PDIA6,0.38146894618716654,0.008152959955559248,0.04830959247795987
AUP1,AUP1,0.37999246113989266,0.005459080528597067,0.03738495326280313
CSKP,CSKP,0.3767682094955992,0.005902898256420614,0.03903037036788457
PKP2,PKP2,0.3748338532677687,0.006184025732623922,0.04053972424720126
MGST1,MGST1,0.37406519340173977,0.006298941475053058,0.04082437140923868
CISD2,CISD2,0.3738368279621456,0.008145000106352161,0.04830959247795987
RT30,RT30,0.37367256627004686,0.006358355486406591,0.04090274212738262
AGRIN,AGRIN,0.3730932227456795,0.006446917034778345,0.040960644469169034
DHE4,DHE4,0.3727923132131771,0.009860540610281422,0.05363854360344575
SE1L1,SE1L1,0.37232532509093846,0.008427176742662995,0.049153190582680736
CIB1,CIB1,0.3721027290063345,0.008469438717297221,0.04921257194065885
ABHDB,ABHDB,0.36999459551009317,0.006939088467239077,0.04336741139929947
HEBP2,HEBP2,0.368838101357387,0.00911065154272503,0.05138139509757425
MMSA,MMSA,0.368252261737961,0.007229953979317015,0.04472076372690444
RT63,RT63,0.36820554715396797,0.010881624405322086,0.056970688866089005
ACSL3,ACSL3,0.36616704916807047,0.007591955218038361,0.046033849590743324
TRI29,TRI29,0.36399861379379717,0.008645136961974836,0.049998416912311536
ES8L2,ES8L2,0.3633961380719041,0.011124365365979778,0.05784669990309484
PEX1,PEX1,0.36240555909945094,0.010497570736954641,0.05552852934651179
MOGS,MOGS,0.3617563526364358,0.008409909206080179,0.049153190582680736
TMX2,TMX2,0.36098308591551126,0.010827690150309788,0.056882454419778135
SYPM,SYPM,0.3597884399326687,0.008798834864881432,0.050363480159433274
RM48,RM48,0.3591460488361163,0.011267198328419754,0.05839149403985102
RHG32,RHG32,0.35879061984393645,0.009724670026885698,0.05363854360344575
KI21A,KI21A,0.358268495937646,0.00910979863164961,0.05138139509757425
RM21,RM21,0.3571431911993372,0.009346109082260932,0.05215631178174245
Q5QPA5,Q5QPA5,0.35552501812440374,0.014189248619331648,0.06738794855125309
COG2,COG2,0.3553249748816414,0.012230685918693899,0.06171668486604093
KCRU,KCRU,0.355285995838659,0.009747714735762199,0.05363854360344575
NLTP,NLTP,0.3552248179851577,0.00976119382564755,0.05363854360344575
MTHFS,MTHFS,0.35461511354385106,0.012417246788418388,0.06245264450306166
K7ELL7,K7ELL7,0.35388585444184384,0.010060262464913677,0.05403693114640543
DNJA3,DNJA3,0.3538221690052939,0.010074682078143386,0.05403693114640543
LYN,LYN,0.35215157055209706,0.010459363665105992,0.05551786803554531
TNR21,TNR21,0.3513978668893115,0.011455944557242125,0.058971204532917515
CERU,CERU,0.3512704407070009,0.014361394631030895,0.06772631998793065
AKAP1,AKAP1,0.351105816527784,0.010706557585605483,0.05643937916260759
ATIF1,ATIF1,0.35100532255533284,0.013404128188049714,0.06506940709008943
FLVC1,FLVC1,0.35009329762361796,0.014714600142670408,0.06881240211350943
MCCA,MCCA,0.3500682921728428,0.010956766297375128,0.057168977891746416
TSN15,TSN15,0.34899983339407775,0.013980839273133594,0.06688730347157555
A0A0A6YYL2,A0A0A6YYL2,0.34836824338153577,0.016409137032049385,0.0729612063975761
CATS,CATS,0.34809794940703126,0.011445821635222338,0.058971204532917515
SARG,SARG,0.34715820135905084,0.012563646879270132,0.06286936571086522
GALT6,GALT6,0.34542719793381693,0.015060770997008283,0.06928809314468487
RON,RON,0.34537819063214253,0.012151674866772412,0.06152036054662997
POF1B,POF1B,0.34330238639206495,0.01690003703315375,0.07385942110785713
OCAD1,OCAD1,0.34163029375269627,0.013185425635483456,0.06462122340201797
CH10,CH10,0.33920448805191916,0.013893959848917456,0.06681296052739617
CATH,CATH,0.33878942723109334,0.017256539124658896,0.07486619206331704
3BP1,3BP1,0.3387169414226885,0.014040229281517163,0.06688730347157555
KLK6,KLK6,0.33836128293259066,0.01515784469581707,0.06940935451756235
PRDX2,PRDX2,0.3375883642535634,0.014383878191047002,0.06772631998793065
RTKN,RTKN,0.3375588958145255,0.014392946751020465,0.06772631998793065
LAMA3,LAMA3,0.3374634056308085,0.02035481346201049,0.08294347844442955
LYPA1,LYPA1,0.3362559694930846,0.014798823031364063,0.06881240211350943
PLSI,PLSI,0.3353517997522315,0.015086194987173888,0.06928809314468487
ASSY,ASSY,0.3345562731131253,0.015342964133251598,0.06990667912631282
A0A3B3ITW3,A0A3B3ITW3,0.3344836713419713,0.02156258241781739,0.08613802455451008
FUMH,FUMH,0.3344565054913171,0.01537542742437961,0.06990667912631282
ZN687,ZN687,0.33416878285714946,0.015469377682660771,0.07000007482360361
GALM,GALM,0.33408610658855153,0.01897191317903039,0.08061749256684937
HDHD3,HDHD3,0.33198204521394176,0.016199553220865977,0.07266115392049242
PPIB,PPIB,0.33158899539300934,0.016333862540701943,0.0729612063975761
DTX3L,DTX3L,0.33080747236658936,0.016603736979793615,0.07321041309037707
GOGA2,GOGA2,0.32979018637541146,0.016960703825917738,0.07391397633226651
I20L2,I20L2,0.3289044317361003,0.017276813553073166,0.07486619206331704
ACAD8,ACAD8,0.32865680224430865,0.021129323754489563,0.08484916921305495
ILEU,ILEU,0.325833685008659,0.01841178244590744,0.07867318738724795
TYY1,TYY1,0.3245880950744399,0.02287849519637901,0.0877390290781135
PSPC1,PSPC1,0.3245332240974885,0.018911172378884664,0.08058260674780297
E9PF18,E9PF18,0.3236399941095038,0.02647860165043702,0.0962542081133789
CMC2,CMC2,0.32358959037218044,0.019280685514790223,0.08110973813304627
DDX59,DDX59,0.3233374791648536,0.023439998560737866,0.0894451686372435
ASHWN,ASHWN,0.322187518431454,0.02396647815007297,0.09078850239043962
VRK3,VRK3,0.32218079538900696,0.023969585050930928,0.09078850239043962
S39AB,S39AB,0.3221628931375847,0.025543462294168963,0.09391503984970759
RM39,RM39,0.3220000897404,0.019916940378418922,0.08294347844442955
RM11,RM11,0.321895617893644,0.019959374098821883,0.08294347844442955
CPSF4,CPSF4,0.32127591487741897,0.020212657213436125,0.08294347844442955
PARP9,PARP9,0.32089930178058457,0.020367909588356437,0.08294347844442955
LACB2,LACB2,0.32086737935646303,0.020381115303720956,0.08294347844442955
GOGA5,GOGA5,0.3200869578072967,0.02070622078992159,0.08358774392563084
RDH11,RDH11,0.3191411317118316,0.025409346631826753,0.09391503984970759
AP1G2,AP1G2,0.3188991502854297,0.028904486155727778,0.10100109740976404
ZN592,ZN592,0.3187680846584684,0.025590930024235837,0.09391503984970759
AFTIN,AFTIN,0.318241122697649,0.025849282307894208,0.0946367519339134
EXD2,EXD2,0.318190202230508,0.021514682272612533,0.08613802455451008
B8ZZD4,B8ZZD4,0.3181846288592036,0.029285650443598037,0.10186890653169929
EFGM,EFGM,0.31789280562796074,0.021643827637650603,0.0862380041458598
A0A590UJL0,A0A590UJL0,0.317812534205977,0.029485794353248326,0.10221556726887307
NHP2,NHP2,0.31727503578730265,0.02191418790773953,0.08686399031129831
SSH3,SSH3,0.3166340605613236,0.022197709402401185,0.08750648072678771
CO3,CO3,0.316233597804265,0.02237641032910716,0.08766565984628136
A0A0C4DFY5,A0A0C4DFY5,0.31598195220584463,0.030487058686031764,0.10323873736064619
TYSD1,TYSD1,0.315945930043515,0.027000130120180613,0.09699812553713597
CAH2,CAH2,0.31562901696880497,0.022648492433408905,0.08766565984628136
TTC19,TTC19,0.3155760418106319,0.022672465318490567,0.08766565984628136
HTAI2,HTAI2,0.315403537545655,0.02275067699264908,0.08766565984628136
J3KQJ1,J3KQJ1,0.31295651702233984,0.0322036339878558,0.1071591638554681
MDHM,MDHM,0.31245323858076046,0.02412389991260972,0.09092398640280912
RPC5,RPC5,0.3106062441097066,0.029843930891674333,0.1028777303097268
RM32,RM32,0.31043831486855705,0.02510125275714307,0.09345951876081911
MISP,MISP,0.30974323365034967,0.025446024193493094,0.09391503984970759
IDH3A,IDH3A,0.3077324407424857,0.026465851599184312,0.0962542081133789
DLDH,DLDH,0.30770632403066406,0.026479319311503192,0.0962542081133789
ERO1A,ERO1A,0.3058001214028726,0.027477916875407557,0.0975720474233222
ENOPH,ENOPH,0.3052848677748358,0.03292155606018047,0.10897919544434678
SPAG1,SPAG1,0.305214881665261,0.03296372013440477,0.10897919544434678
IGSF3,IGSF3,0.30512239941779346,0.027840458662063514,0.09840383315116458
TM192,TM192,0.3046839054751664,0.03328507299370642,0.10933469373093288
RT09,RT09,0.30362688861407433,0.028654632698418163,0.1005862850328912
RT35,RT35,0.3033679270040167,0.028797613975649575,0.10085739689188686
STX6,STX6,0.3015686916156561,0.035223097534278686,0.11343495502620282
TM10A,TM10A,0.3014906827920236,0.03527279892275016,0.11343495502620282
MYO19,MYO19,0.3012006646035337,0.030017740174655385,0.10321482298825443
KAD4,KAD4,0.3010044070720346,0.030130325013956787,0.10321482298825443
ERLN2,ERLN2,0.3008643974688223,0.030210857576092726,0.10321482298825443
BAZ2A,BAZ2A,0.3005761605714377,0.030377214115488056,0.10323873736064619
RPR1B,RPR1B,0.3004160206810255,0.030469968421185614,0.10323873736064619
RM19,RM19,0.29988163567393616,0.030781196865501088,0.10377660657511796
VILL,VILL,0.29947095533840995,0.03461997926578321,0.11275381782104342
CK098,CK098,0.29909331279439444,0.04112396126460868,0.12591648019942062
RDH13,RDH13,0.2983064372163746,0.03735153751012546,0.11765350829678121
TOM70,TOM70,0.2978005498210233,0.032018561379045206,0.10700756678748442
DSRAD,DSRAD,0.2959428268604043,0.033157772680133146,0.10924498176273205
SAFB2,SAFB2,0.2958965963321448,0.033186545959213255,0.10924498176273205
SAFB1,SAFB1,0.2952457270732511,0.033593842250324205,0.11011314959828489
S10AG,S10AG,0.2932253188723737,0.034884647039605865,0.11337510287871906
IPYR2,IPYR2,0.29288047615907403,0.03510901054640221,0.11343495502620282
DNJC3,DNJC3,0.29282769444430534,0.03514345683310358,0.11343495502620282
HEM3,HEM3,0.29282482038812124,0.03514533329596626,0.11343495502620282
BPTF,BPTF,0.29160006329429694,0.03595255458995822,0.11513824371815429
PGBM,PGBM,0.2911557968775122,0.03624912693668314,0.11518131173503435
TRI26,TRI26,0.2911300962156512,0.03626634522035306,0.11518131173503435
WDR89,WDR89,0.2906573772741178,0.042759592526032224,0.12988755432660087
MCP,MCP,0.290208116856998,0.04309616525228522,0.13065122034981327
F8VWL3,F8VWL3,0.2892358089873586,0.043832009993479054,0.1323588648228285
RM15,RM15,0.2885791963159386,0.03800927364244478,0.11899229748471489
HDGF,HDGF,0.287667472790362,0.03864873206285527,0.12001448377412953
RHOF,RHOF,0.287308845718398,0.045320673365464276,0.13486379370685192
DHB12,DHB12,0.2872572265571515,0.0389393452742442,0.12067263767816282
GHC1,GHC1,0.2869318965210287,0.0456166504323798,0.13513847041249713
PREB,PREB,0.28665650789651165,0.03936813163738329,0.121510490808342
MIA2,MIA2,0.2863227593299518,0.03960803224745324,0.12192864136346857
GSTP1,GSTP1,0.2862471101024038,0.03966257629750379,0.12192864136346857
PDIA3,PDIA3,0.28596039649796334,0.039869861729679344,0.12232073578665623
A1AT,A1AT,0.28553126707416615,0.04915547922690342,0.1436276288267997
RHG27,RHG27,0.28407564452768114,0.05037384835492954,0.14497839282638258
NPTN,NPTN,0.2833359630916316,0.04852011852011299,0.14204172101117046
COX5B,COX5B,0.2810287791573857,0.04357698373533445,0.13184830976331963
HIP1R,HIP1R,0.280585123248066,0.043923880557878776,0.1323757028993832
PAR14,PAR14,0.27894275379472055,0.045227784253604825,0.13486379370685192
SFXN1,SFXN1,0.27887548059588535,0.04528186072410306,0.13486379370685192
K1522,K1522,0.2778601913362858,0.04610442059683674,0.13627009864267353
TM10C,TM10C,0.27736968575800325,0.05908385936698037,0.15728945502023445
RTRAF,RTRAF,0.2769878160352963,0.059448298577127835,0.15741275943693303
FXRD1,FXRD1,0.276521354125891,0.05443380102417744,0.15126115393370076
PLCC,PLCC,0.2761780762569069,0.05741734987018217,0.15452318368571832
NUDT9,NUDT9,0.2754331499527549,0.04812025725831779,0.14141087094685725
PDZ11,PDZ11,0.2752904461857273,0.05056075087112791,0.1452438049369105
FAKD1,FAKD1,0.2747434176407426,0.05606875311895072,0.15358833443655429
ERBB2,ERBB2,0.27344119747299256,0.049827856126095964,0.14469880608030444
RN149,RN149,0.2733210891025244,0.06015241252657566,0.15854604951162724
RPRD2,RPRD2,0.2732711684953365,0.049975866572216116,0.14469880608030444
LETM1,LETM1,0.2732506862524931,0.04999372048406868,0.14469880608030444
GCC1,GCC1,0.27306985750101304,0.050151569891559625,0.14488231302006113
RPR1A,RPR1A,0.2728491228906685,0.050344802727335915,0.14497839282638258
ELF1,ELF1,0.27237312542668846,0.05076355370229235,0.14555381566227377
CH60,CH60,0.27220878840770796,0.05090878168377797,0.14568429841022143
NBEL2,NBEL2,0.27194373574765107,0.05872327311399649,0.15691941624702802
NDUAD,NDUAD,0.26893539142680406,0.06168721412076333,0.16148154686220298
SYDM,SYDM,0.26857929734946906,0.054203176074041765,0.15126115393370076
STX17,STX17,0.2682714563154619,0.05698853727775805,0.15422012542771218
TOIP2,TOIP2,0.2681248339891655,0.054627561459758944,0.15126115393370076
PLXB2,PLXB2,0.2679639540632842,0.05477843617008728,0.15140562357642143
ECI1,ECI1,0.26792050051826893,0.06271373081095165,0.1633325349134123
SRPRB,SRPRB,0.2672134578135894,0.05548671629223792,0.15281260824469114
OS9,OS9,0.2668534703818329,0.05582906993996303,0.15320535471896835
SYNRG,SYNRG,0.2663692046980427,0.05629230294507822,0.15375344882089736
RM20,RM20,0.26591876830254096,0.06477843514260481,0.16720673671156241
CALX,CALX,0.2657879143389406,0.056852438517295587,0.15422012542771218
THIK,THIK,0.2657103740783109,0.05692749556842855,0.15422012542771218
FUCO,FUCO,0.2646177979322214,0.06614917975790904,0.16997125921043965
RM46,RM46,0.2642559622429857,0.05835020030332042,0.1565294210879303
ISOC2,ISOC2,0.26378276466215994,0.058819207524146745,0.15691941624702802
GTPBA,GTPBA,0.2634378434548595,0.059162982755329385,0.15728945502023445
RM28,RM28,0.2630841181558585,0.05951721021735408,0.15741275943693303
PRR12,PRR12,0.2616046886856655,0.06101727120997384,0.16027481855496553
MCA3,MCA3,0.2613963630744965,0.0612309195523371,0.1605610779372395
NNRE,NNRE,0.26071975274160686,0.07039514582142405,0.17819497308591498
RM01,RM01,0.2601458672907455,0.06252602070373972,0.1633325349134123
RT26,RT26,0.2600484899083665,0.06262778634971014,0.1633325349134123
E9PMS6,E9PMS6,0.25968822994829216,0.07793861971455837,0.19129254822741207
ACATN,ACATN,0.2596076767445779,0.06309012695167951,0.16375677621637286
A0A087WT44,A0A087WT44,0.25950729584598087,0.07815349957652035,0.1915135277162655
RMXL1,RMXL1,0.2589932030928425,0.0723436283572682,0.181628683960801
LG3BP,LG3BP,0.2583741156921801,0.06439847970791374,0.166870384918817
AFG32,AFG32,0.2581783822891131,0.06460806229801111,0.16713114260564763
A0A087WZT2,A0A087WZT2,0.25789628586689034,0.0800873635513254,0.19362917397714835
GMDS,GMDS,0.25770930566608047,0.06511255005035915,0.16758834190813918
MCEE,MCEE,0.2572995181061303,0.0742962960677784,0.18524284336829136
CC134,CC134,0.25654709224840727,0.06637607856985153,0.17026907111396697
S12A7,S12A7,0.25637663206684014,0.0753777081639817,0.1868527327049388
RT4I1,RT4I1,0.2557166059404434,0.06729089982298386,0.17204040054742875
HCD2,HCD2,0.2553612953207105,0.06768535192674041,0.1723745080264706
K319L,K319L,0.2553566209041646,0.06769055354687231,0.1723745080264706
LAMA5,LAMA5,0.25529541801483036,0.06775868861796726,0.1723745080264706
CASP,CASP,0.2552274931435583,0.08337343467762513,0.19890334182811345
AL1A3,AL1A3,0.25350394008738303,0.06977742772667045,0.1769232630292768
TTC27,TTC27,0.25337899655850005,0.07897623312123891,0.19291328281525555
C2CD5,C2CD5,0.2533510257032987,0.0857464162382526,0.20361455496823452
RM53,RM53,0.2526964584042798,0.07070285679854482,0.17867904831790404
ZC3H4,ZC3H4,0.2525009655918494,0.07092836579474818,0.17875509834942507
CYC,CYC,0.252468382638641,0.07096600710221634,0.17875509834942507
SCAM3,SCAM3,0.25235483568550143,0.0870274498832898,0.20541654077182675
A0A494C1N0,A0A494C1N0,0.2519891903258583,0.08750137173761711,0.20555452411256456
RT15,RT15,0.2515188129999719,0.07206998526310443,0.1812382908091839
SORCN,SORCN,0.25065034510644163,0.07309157290383815,0.18290778602689678
SYTM,SYTM,0.2502847085425342,0.07352509628373353,0.18369299299551667
UBA5,UBA5,0.250204355285626,0.08293325882585753,0.19878065474822726
LYPA2,LYPA2,0.24956285692892613,0.07438695665897488,0.18524284336829136
EFTS,EFTS,0.24943904756745844,0.07453558065582921,0.18531212435339062
DFFA,DFFA,0.2487185912216228,0.0754051078117538,0.1868527327049388
ZC11A,ZC11A,0.2481370244727776,0.07611284696021896,0.18772992429905389
CGL,CGL,0.24716900137743897,0.08686043941014972,0.20541654077182675
PHC3,PHC3,0.24703211656507873,0.08704090710670624,0.20541654077182675
