ProteinID,GeneName,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
CC138,CCDC138,-0.1157275124715689,0.907868500949536,-0.0258774584753382,0.9342600271399294,-0.2695883792056562,-0.5140603269955917
TBD,TUBD1,-0.1050210063021007,0.9163591402734884,-0.0234834109156931,0.937465615938932,-0.2042178258994454,-0.1875838582889416
M3K1,MAP3K1,-0.0962250448649376,0.9233418401809064,-0.0215165741455967,0.937465615938932,-0.4865651886425921,-0.2895255983578893
A7XZE4,TPM2,-0.0962250448649376,0.9233418401809064,-0.0215165741455967,0.937465615938932,0.2626418612681995,0.3909101048865057
UTP6,UTP6,-0.0755928946018454,0.9397429895770734,-0.0169030850945703,0.9468757636915104,-0.1392632900969358,0.0306037841279805
NDUA4,NDUFA4,-0.0441510785688347,0.9647839776414971,-0.0098724812959848,0.9666043247691226,-0.2025321907403988,-0.1209142347632329
SRP72,SRP72,0.0,1.0,0.0,1.0,0.3873378721622441,0.3280027216795352
CA052,C1orf52,0.0529256124024963,0.9577911772450388,0.0118345267082787,0.9614123159113718,0.0723195826859187,0.3160195654218044
CO4A5,COL4A5,0.0638876564999939,0.949059680885933,0.0142857142857142,0.9544520654364212,-0.8482072470830303,-1.258659510068488
NOG2,GNL2,0.0755928946018454,0.9397429895770734,0.0169030850945703,0.9468757636915104,0.1769403486057781,0.2344074810780561
EXOC8,EXOC8,0.0755928946018454,0.9397429895770734,0.0169030850945703,0.9468757636915104,-0.1164384246408568,-0.0141043169782254
PYRD1,PYROXD1,0.0755928946018454,0.9397429895770734,0.0169030850945703,0.9468757636915104,-0.2675462596742683,0.0681582392295989
A0A0D2X7Z3,CRY2,0.0962250448649376,0.9233418401809064,0.0215165741455967,0.937465615938932,0.0962198685463789,-0.5425230751192296
A0A5F9ZH79,ASCC1,0.0962250448649376,0.9233418401809064,0.0215165741455967,0.937465615938932,0.8472894217351228,0.9804046131219372
DXO,DXO,0.0962250448649376,0.9233418401809064,0.0215165741455967,0.937465615938932,0.1264785947701149,-0.089356666610635
F5H5R8,NAT1,0.0962250448649376,0.9233418401809064,0.0215165741455967,0.937465615938932,-0.2641958188228459,-0.2353893407523396
IFT20,IFT20,0.1324532357065043,0.8946258095467281,0.0296174438879546,0.9242146009130596,-0.0799558829077658,-0.0037206980488243
NT5D1,NT5DC1,0.1324532357065043,0.8946258095467281,0.0296174438879546,0.9242146009130596,-0.1434260126912399,-0.3583186629494341
ENPP4,ENPP4,0.1324532357065043,0.8946258095467281,0.0296174438879546,0.9242146009130596,0.0914764805663355,-0.3875088231268557
HEAT3,HEATR3,0.1324532357065043,0.8946258095467281,0.0296174438879546,0.9242146009130596,-0.7578868444829243,-0.3499409644860231
