feature,p-value,effect_size,q-value,in_group_gene_effect_mean,out_group_gene_effect_mean
PSRC1,0.004198934655773099,-2.2152092982970326,0.27263341506785377,-0.4534558199114419,-0.1685226070918987
SNX31,0.004237825104681665,-2.2126856436622897,0.27263341506785377,-0.22967665466784432,0.01830026262304285
FAM89A,0.004356701605252516,2.2051048753265876,0.276733274115913,0.2287795147232122,-0.022112070218617486
KRT5,0.004434379139703112,-2.2002560742701562,0.2781464315378777,-0.2924198032584633,-0.10847336357747944
IMPA1,0.0045079847397299306,-2.1957347956351048,0.2792724373328987,-0.21928232685236376,0.022208165438037997
RP9,0.0047628231110627296,-2.1806011621256034,0.2914615411135704,-0.32574508572636357,-0.07336542416497958
TACR1,0.005086494632253712,-2.1624429992372014,0.30407085280759066,-0.36307880443270923,-0.13874941739656532
ITPR2,0.005090066089246237,-2.162248770312327,0.30407085280759066,-0.31097764800158456,-0.11836675150483635
KLHL28,0.005164406498603354,2.1582346964368253,0.30488225658813684,0.16793904345409205,-0.014092207225017628
MEF2B,0.005282934751925294,-2.1519456647317665,0.30825309982745497,-0.2701526924823884,-0.10652879588424273
CD101,0.005391429258118509,-2.1463042042870413,0.3109677243360767,-0.43808980247015605,-0.1626315220537305
OLIG1,0.005582760279982424,-2.1366103965481322,0.31834421687445236,-0.1959517728763435,0.009032950349139535
DOK5,0.006002207675882093,-2.116406225243513,0.31950843964500897,-0.15106921025043876,0.029387624187012244
LEKR1,0.006187258916468699,2.1079105347667006,0.31950843964500897,0.31842565300649583,0.1373675998902532
DAPK2,0.005676177116212596,-2.1319902322336124,0.31950843964500897,-0.24112220527812295,-0.03800429165842454
STARD10,0.006103500352448377,-2.1117259645922086,0.31950843964500897,-0.1150239277743022,0.049068869554533254
PSG1,0.006367246704763033,-2.0998726832282104,0.31950843964500897,-0.29247813664437283,-0.06359438478966628
HEATR5B,0.005748063399433305,-2.128483250866839,0.31950843964500897,-0.4676943159197938,-0.22130386521170822
ATP6V0A1,0.00628134731520023,-2.1036818409625173,0.31950843964500897,-0.5666969325293424,-0.2539146620490877
SLC52A2,0.006223801606417243,-2.1062610575561065,0.31950843964500897,-0.3009264098348251,-0.06940868691159324
H3-5,0.00620874202363599,-2.1069397205037426,0.31950843964500897,-0.3393530234682654,-0.012840978916446576
DOC2A,0.006185527631740184,-2.107988908377705,0.31950843964500897,-0.0738500179379144,0.08667273526977835
FAR2,0.006326288633185388,-2.101682902532789,0.31950843964500897,-0.3697859361088106,-0.13991534542951226
GNRHR,0.006153794618029459,-2.1094290844339136,0.31950843964500897,-0.07468216941051099,0.07944027782929979
LRRC10B,0.006460560768951876,-2.0957888721497846,0.32098112810495555,-0.38446141554285823,-0.12345202374719393
CA10,0.006531281255739536,-2.092730466482102,0.3213134249147156,-0.2153558095713862,-0.06221093940601332
ACKR4,0.006700887987681643,-2.085520028427017,0.32577048018069266,-0.3052601891555258,-0.03451835531258158
SEC22A,0.0067517197964910396,-2.0833922712926234,0.32577048018069266,-0.1714913208422269,0.008290529856106194
N4BP1,0.006976024082973304,2.074178537183708,0.3306314661245025,0.33836015049834,0.08329891420220667
U2AF1L4,0.006984243804144533,-2.073846182673073,0.3306314661245025,-0.33965857162700697,-0.10197542021370416
PAK3,0.007246271421995188,-2.0634384493309414,0.3348429834562368,-0.18138313534664005,-0.03234106204990441
OGFOD1,0.007273392825175332,-2.06238134487208,0.3348429834562368,-0.27123166036697316,-0.01856082898917662
DHRS3,0.007254053752346799,2.063134741856501,0.3348429834562368,0.44492538114629643,0.09373166368430742
PDF,0.007916241201248668,2.038345096997403,0.3546758781059448,0.07517447680105326,-0.1251626789014459
BHMT2,0.007818231203084426,-2.041889359390553,0.3546758781059448,-0.15857599847144196,0.06321888300357746
PLA2G4F,0.007889105945427627,-2.039322256516105,0.3546758781059448,-0.35034932568484456,-0.15044842745288003
PIP5K1C,0.008116943000306262,2.0312131030012797,0.3572878945222528,0.09954941826532035,-0.10624016060200639
MITF,0.00807477858585367,-2.0326976881210124,0.3572878945222528,-0.2903952014330944,-0.05881371156616908
CYP4F22,0.00819783873550007,-2.028384810545087,0.35771091108469,-0.25389018192084595,-0.09712687991542227
GLIS2,0.008321069501660495,-2.0241259500261055,0.3577220329400376,-0.19934007441214235,0.0013914941539740695
GPR179,0.008340669161814349,-2.0234540033777524,0.3577220329400376,-0.30925833221263777,-0.04615031945399558
JPH2,0.008703093691918434,-2.011286515572071,0.35796823070530087,-0.1455203334876516,0.04284499622169509
STK32C,0.008624915566127456,2.0138707380133862,0.35796823070530087,0.3479715848174595,0.17221008720365832
HLTF,0.008586765602589126,2.0151397263791426,0.35796823070530087,0.33348485926736027,0.06411086692326168
CLPS,0.008594310438962251,-2.0148883458149336,0.35796823070530087,-0.25229212785483296,-0.02607081997276352
TP53I11,0.008694305230210262,-2.011575943695288,0.35796823070530087,-0.12368533966015825,0.0076197141512156
SULT4A1,0.009065522610759755,-1.9995812694737936,0.369843841144654,0.0473858750075089,0.19575607814733423
EPHA3,0.009226580628444765,-1.994518609081225,0.3733788838188373,-0.22650608781309556,-0.05069414230380729
CLK2,0.009466736183808423,-1.9871199905943726,0.38003265736280534,-0.6439965552036795,-0.3674104705989125
TMEM253,0.00954364067269453,-1.9847875504592798,0.38007927694905674,-0.08891721033864014,0.1277322177049231
OR11H4,0.009666407134306446,-1.981100055866678,0.38193725196810824,-0.294351493969129,-0.13025986637707818
VCPIP1,0.010007448486227352,-1.9710796999954439,0.38928198840223915,-1.1173659084354521,-0.48363581216635654
RNF121,0.009958584399021893,1.972495794311477,0.38928198840223915,0.09725501716980155,-0.13799230240893748
PLP2,0.010207226450689305,-1.965355947108506,0.3939989409966072,-0.1540687070312482,0.04643006890901881
C16orf92,0.010327153450197607,-1.9619696215032607,0.3950075757647271,-0.2712211201845267,-0.07451374394772571
CNPY3,0.010419203627464386,-1.959395056419607,0.3950075757647271,-0.2642998457326687,-0.059828774430644514
ZNF512B,0.010705665664408706,1.951515558748195,0.3950075757647271,0.28913952310305574,0.04126477322393626
REPS2,0.010656211630415724,1.952861809111165,0.3950075757647271,0.2042869306145766,0.04439797404817082
RFPL1,0.010653997640015215,1.9529222140294047,0.3950075757647271,0.23829340693733464,0.01524000623902831
SETMAR,0.010498850870231733,1.957184329043272,0.3950075757647271,0.246404874546509,0.0784574542326551
DDIT4L,0.010875107400238681,-1.9469461963444274,0.3983305761634869,-0.11397207865887021,0.07326134646798443
RNF34,0.011447053311287758,1.931994034462271,0.4028698175269292,0.17582846786739165,-0.022415822791072203
TF,0.011480746095326998,-1.9311349043278567,0.4028698175269292,-0.41976890637897524,-0.1887757035608426
PTGR1,0.01146303309539349,-1.9315862762214757,0.4028698175269292,-0.05576901025439,0.14536853901872154
GRPR,0.011383400195645281,-1.9336235150573922,0.4028698175269292,-0.00931592820487415,0.11644147978201193
CBLL2,0.011297494812841351,-1.935836036756615,0.4028698175269292,-0.15940072785852194,-0.018649601696683178
AKR1B15,0.011248677941597332,-1.9371002675716429,0.4028698175269292,-0.40794426675450757,-0.18701539696167457
PCMTD2,0.01166560046832287,1.9264623429107697,0.4065137718753067,0.06252652310790481,-0.18217340448855776
NIBAN3,0.011816444897258334,-1.9226998254990837,0.40774027181261274,-0.04544958519041285,0.13996533962379698
NECTIN4,0.011944563562465937,-1.9195388091427337,0.40774027181261274,-0.25855906551148067,-0.07939535620963789
CNBD2,0.011876495045793049,1.9212143169788434,0.40774027181261274,0.1368765646225944,-0.0943065264999768
ECT2L,0.012153081830351119,-1.9144603974928123,0.41205516638312106,-0.30788457614432924,-0.0738112488934061
TGFBRAP1,0.01237531445480392,-1.9091356745010941,0.4148285010173181,-0.7170583615701154,-0.3562677817952684
ATXN1,0.012400214259186472,1.908544574080568,0.4148285010173181,0.2245149442647148,-0.007922166200607674
SSX7,0.012614952560886098,-1.9034917782247416,0.4184624877651047,-0.2721783571781609,-0.06312131692238744
STUB1,0.01267562736952888,1.9020784575912217,0.4184624877651047,0.11223447677839565,-0.22138708505677
SLC2A1,0.012848933585577604,-1.8980756200666977,0.4209687198744026,-1.2174429394897586,-0.3754534408630963
FOXL2,0.012931359709943538,-1.8961892479149811,0.4209687198744026,-0.38408770348416554,-0.16169159276625958
LCORL,0.013003218728683222,-1.8945537203313407,0.4209687198744026,-0.07601385165601335,0.1448669954122503
UGP2,0.013325083030755233,-1.8873285930534425,0.42846349820329965,-0.8557255125022332,-0.4102145625753245
KCND3,0.013405494064949789,-1.88554862632361,0.42846349820329965,-0.47585524610264707,-0.2272168161615132
HPSE2,0.013781540138561954,-1.877352677822444,0.43494193971889233,-0.21822257052077698,0.014919906535309996
PIGM,0.013740333768810677,1.8782406752419518,0.43494193971889233,0.09646508040626166,-0.16768299003983742
OXSR1,0.01464958222738167,1.8591915750206598,0.43756906914881677,0.11716535917062901,-0.08525367149307575
PLPPR2,0.014478994996402901,1.8626811428042718,0.43756906914881677,0.1837601864726769,-0.038619980365008064
SPSB2,0.014432801804952397,1.8636325704580319,0.43756906914881677,0.2809977985152908,0.037694628814631356
DNPH1,0.014214358550696134,1.8681699892090908,0.43756906914881677,0.1346709029020422,-0.08457386708028032
BAHD1,0.01464945043368622,-1.859194256599868,0.43756906914881677,-0.35107836992950914,-0.167065320933613
DPF1,0.014502701448153533,-1.862193948992052,0.43756906914881677,-0.35568162090312605,-0.11165530180513253
THEG,0.014464292475559512,-1.8629836637586281,0.43756906914881677,-0.18790766965190345,0.013327695875813672
FAM91A1,0.014353752344698172,-1.8652672312707657,0.43756906914881677,-0.45438377707429956,-0.21499435385502275
CLDN6,0.014286485147889922,-1.86666476756187,0.43756906914881677,-0.4029906846860766,-0.1876025657029214
KCNA3,0.014769957523061629,-1.8567515155037486,0.4385541233770607,-0.3860041566403401,-0.0870238073373592
RABEP1,0.014914826370861575,-1.8538390274319374,0.44025058075872575,-0.0829771551524012,0.05365844141436033
TRIM52,0.015156766612261926,1.849032318147079,0.443252100288758,0.195676693714512,0.002284481720598254
GALNT7,0.015193176813405016,1.848315040374695,0.443252100288758,0.19584654043024569,0.02627645731650262
SAV1,0.015596675182453014,1.840469871692653,0.44468247764516605,0.3521252889680231,0.04179926868707035
CFAP92,0.015435205125761324,1.8435867472548177,0.44468247764516605,0.0502508879249402,-0.09252869832711987
FKBP15,0.015498124305510936,1.8423686760924414,0.44468247764516605,0.16708680833717815,0.0033623947534020425
IRF5,0.01552101477263514,-1.8419266559847247,0.44468247764516605,-0.0355328381919618,0.1104307088004596
GPR142,0.016047019240522334,1.831930378915438,0.4468359270392068,0.03325951838643765,-0.11995038546640946
TBX6,0.016456796161769108,-1.8243485450381747,0.4468359270392068,-0.3320189853964486,-0.12418718807656375
TOMM6,0.017007903958646573,-1.8144193809893625,0.4468359270392068,-0.4162115642203297,-0.15935098389194
AATK,0.016214562266923988,1.8288092819122521,0.4468359270392068,0.0718313936830706,-0.12500122831844648
SECTM1,0.01640797360296065,1.825242759932482,0.4468359270392068,0.12237928816071475,-0.054299486716993625
UBE2Z,0.01687420700179484,1.8168008622134808,0.4468359270392068,0.0072071485931162,-0.3490562142240061
ATF6,0.01669673882777451,-1.8199887838674293,0.4468359270392068,-0.2514656741835418,-0.06602676103038797
METTL18,0.016916084337583077,1.8160530729152893,0.4468359270392068,0.320747339784189,0.13794917546049054
TJAP1,0.016987547253065748,1.8147808796371896,0.4468359270392068,-0.03807462309233205,-0.15612833944275284
ERBB3,0.01638297184626128,-1.8257016244905853,0.4468359270392068,-0.5431192195116805,-0.21591659996513882
DRP2,0.01615566948943019,-1.8299029975218253,0.4468359270392068,-0.16166778954700461,-0.03451859173466448
PLPP7,0.016094143269353274,-1.831049521325481,0.4468359270392068,-0.1493719421128957,0.02644517408528879
SLC28A2,0.01594426445296788,-1.8338593399297816,0.4468359270392068,-0.14148068653996815,0.04304335858683893
ARRDC5,0.01696790574144373,1.815130052905682,0.4468359270392068,0.16417152367845045,0.019516989193612517
RNF152,0.016508840551748897,-1.8233979867236494,0.4468359270392068,-0.1828831532754282,-0.010324937492666492
KCNS1,0.01728224481844166,-1.8095857309411725,0.45167866926531386,-0.25255124660375083,-0.006933405013249911
SAXO1,0.01754518500481566,-1.805018235632922,0.4561748101252071,-0.19403630573541816,-0.009885823752368551
MGAT2,0.017677296009470937,-1.8027468775242628,0.45724057410064517,-0.40458832284868335,-0.1476151323606632
SQSTM1,0.017876191061387384,-1.7993563447202008,0.45766697319409133,-0.5010282910574684,-0.10237104263713684
LOXHD1,0.01784402112128779,-1.7999024013267892,0.45766697319409133,-0.12996280477659544,0.05607228299253212
CELF4,0.01827922139975623,-1.7925901141541685,0.46560981210140484,-0.20438386024974803,-0.04606976381529129
JUND,0.018717706813219506,1.7853813175416244,0.4743709736804822,0.23924142840803245,-0.07582962215704693
LAMTOR4,0.01926533116838919,1.7765911011221134,0.4857961397134521,0.034225824561676846,-0.41820806414349626
LCTL,0.019580470893620507,1.7716351225114606,0.48890452177537463,0.07316591043898095,-0.09742544775008963
ZBTB41,0.019583461314637365,1.7715884426079007,0.48890452177537463,0.10174772063204805,-0.07924919279170785
SLC6A1,0.01974253895273177,1.7691145622076843,0.4904359428950891,0.225257364852683,0.018304734716590373
ARHGEF11,0.020162535589821107,-1.7626690250384411,0.496747121663141,-0.429569553554221,-0.21697005100832714
ASB3,0.020293575117764827,1.7606829593919524,0.496747121663141,0.1358289367093094,-0.045160388222167294
NOL3,0.020283616597972922,1.7608334836053046,0.496747121663141,0.1301937797091175,-0.09479606307022997
