,TP63_High,ssGSEA
BD28,0,-0.7245176847735593
BD29,0,0.6531427901791454
BD305,0,-0.4145033050283801
BD306,0,-0.9834712807787294
BD308,0,-2.6260517912401884
BD30,0,-0.11979351060039607
BD310,1,1.7901122712370967
BD312,0,0.1285752022674794
BD313,0,0.4796817555871087
BD314,0,0.1407597482266948
BD315,0,0.5768627182739045
BD316,0,0.245929499325944
BD317,0,-0.32442977512618404
BD318,0,-0.029755442687008558
BD319,0,-0.21806973544010477
BD31,0,-1.7021238188849306
BD321,0,0.6435918132238886
BD322,0,1.4565488756816494
BD32,0,0.26557481756092655
BD333,0,0.012141088489186354
BD334,0,-0.10886763447694407
BD335,0,0.4866749533170279
BD336,0,-0.13302394622545904
BD33,0,-1.1291069290216618
BD34,0,1.1523547551745372
BD35,0,0.3068716636993565
BD36,0,-0.5410566425927031
BD37,0,0.685468121156443
BD38,0,-0.06268594551832063
BD3,0,0.24720241512635255
BD40,0,-0.08471582194737763
BD41,0,0.6081244169429011
BD42,0,-0.6884746912713477
BD45,0,-0.5471031863395356
BD46,0,0.6335153377724635
BD47,0,0.421055951045061
BD48,0,0.1549826853903206
BD49,0,0.9243449055585502
BD4,1,2.5179937282812195
BD52,0,0.3331572687744262
BD53,0,0.9355761822016241
BD54,0,-0.36177976525914013
BD55,0,0.22905172800403875
BD56,0,-0.14708329539753107
BD57,0,-0.06830088370526108
BD5,0,0.394885756747809
BD6,0,0.22322294902648337
BD72,0,0.10343217254653704
BD74,0,1.5066572978647979
BD75,0,-0.5641067536677036
BD78,0,-0.9760644468852282
BD79,0,-1.460000288440836
BD7,0,0.04677527365398342
BD80,0,1.035780258572251
BD81,0,-1.6052106433971187
BD82,0,-0.20534695809811385
BD84,0,-0.7636200034086461
BD86,0,0.8480855794542336
BD87,0,-0.012119929259206104
BD88,0,1.1510987848576948
BD8,0,-0.6180598094347056
BD91,0,-0.21344963014047558
BD92,0,0.2522512368688018
BD95,0,-0.259155716783994
BD97,0,0.3685549237719147
BD9,0,-0.345184826208563
