,feature,corr,p-value,q-value
CCDC106,CCDC106,0.3431336715412504,2.876631988775036e-26,2.235236604285968e-24
SLC35B4,SLC35B4,0.3424405761408488,3.670629870403752e-26,2.8065635989107088e-24
ANXA6,ANXA6,0.34217136763021183,4.034453773895645e-26,3.0724535413551895e-24
MAP3K12,MAP3K12,0.3419227092671496,4.402101105934387e-26,3.339133438092691e-24
SYT11,SYT11,0.3396966216132138,9.576519594147783e-26,7.040583540082112e-24
DHX30,DHX30,0.33953204175636875,1.0140387875096677e-25,7.426571426531532e-24
ZEB2,ZEB2,0.3391767921970573,1.1471921008961763e-25,8.337861980467837e-24
DNAJC8,DNAJC8,0.3384988693668961,1.4510845896837398e-25,1.0466974313888561e-23
ZNF333,ZNF333,0.3383018729102169,1.553465777300974e-25,1.1163345238010572e-23
ZEB1,ZEB1,0.3380272644851753,1.7082059491131705e-25,1.2229347085130432e-23
KIAA1586,KIAA1586,0.33728958544194343,2.203503179114988e-25,1.5599986395845553e-23
TNPO2,TNPO2,0.3364218196937555,2.970322666799872e-25,2.0874160947014543e-23
GPATCH11,GPATCH11,0.3361166653935554,3.2984627774064128e-25,2.3010991237271382e-23
UBTF,UBTF,0.33594259989084596,3.501444817144659e-25,2.4338224610807328e-23
EXOSC10,EXOSC10,0.33565036220074235,3.8703770545761044e-25,2.6708396172643406e-23
INPP5B,INPP5B,0.3350738493812744,4.714577534953538e-25,3.1957145241360593e-23
FMNL3,FMNL3,0.33361431968050764,7.75473296622933e-25,5.182927295436141e-23
STARD9,STARD9,0.33344914531452796,8.202614698666282e-25,5.463170033623902e-23
JAM3,JAM3,0.33313700101970906,9.120004393155511e-25,6.032141314019639e-23
IFFO1,IFFO1,0.3331102094127223,9.203318700985007e-25,6.066256447218221e-23
PPIP5K2,PPIP5K2,0.3330254879057984,9.471764390609725e-25,6.221744890945185e-23
MEX3B,MEX3B,0.33247054538947374,1.1432016300298383e-24,7.44433592904817e-23
ZNF775,ZNF775,0.3324659474353263,1.1449828737327555e-24,7.44433592904817e-23
SHQ1,SHQ1,0.3313865114890915,1.6489914215235155e-24,1.0612953206202693e-22
EXOSC9,EXOSC9,0.3311950753373456,1.7589268599354855e-24,1.1244778236677863e-22
MCM3AP,MCM3AP,0.33097052643806113,1.8971430913030767e-24,1.2047804049919703e-22
TUBA1A,TUBA1A,0.33039118104760834,2.3053359037799673e-24,1.4400815621161465e-22
ZNF428,ZNF428,0.32980449674246415,2.807083272172114e-24,1.7308837660506437e-22
CCDC28B,CCDC28B,0.3286633296975915,4.1121659418396374e-24,2.5113115648007886e-22
STRADA,STRADA,0.32854889431158074,4.272279877627862e-24,2.60078439047314e-22
TCF4,TCF4,0.32848997080698505,4.357112320039941e-24,2.6440064126210623e-22
CEP170,CEP170,0.3280764544357564,5.001173892106144e-24,3.0062087719373885e-22
DDX39A,DDX39A,0.32800877144943646,5.115204816572112e-24,3.065114108739057e-22
CLASP2,CLASP2,0.3279672883955493,5.186361427416282e-24,3.098040583908195e-22
LSM10,LSM10,0.3276995842045294,5.669684827406403e-24,3.376200170587956e-22
PFAS,PFAS,0.3275335676618021,5.991518691559986e-24,3.5457547922343386e-22
HAUS1,HAUS1,0.3274901239343892,6.078677579205565e-24,3.586232158225752e-22
BCOR,BCOR,0.3274361191981773,6.188774076055702e-24,3.639951275809377e-22
ZNF569,ZNF569,0.32728936511965534,6.498011631246107e-24,3.8101071267260533e-22
SETMAR,SETMAR,0.3272720597226765,6.535469622069076e-24,3.82035173779359e-22
CXXC1,CXXC1,0.3271483290382341,6.809580351077959e-24,3.9684490369163165e-22
KCTD20,KCTD20,0.32687716902653174,7.450686899471411e-24,4.305343488192761e-22
TOP3A,TOP3A,0.3268667943940854,7.476366489990929e-24,4.305343488192761e-22
ZNF445,ZNF445,0.3259020531010963,1.0289415357776464e-23,5.818999247452577e-22
ATXN7L2,ATXN7L2,0.32562975600121724,1.1257664305070591e-23,6.329125093865422e-22
PXK,PXK,0.3251314839142795,1.3268331042412335e-23,7.437658295475419e-22
STMN1,STMN1,0.3247627005620107,1.4981383059938543e-23,8.348954437047382e-22
C1orf216,C1orf216,0.32465509650482893,1.5521205778836996e-23,8.624646757629919e-22
WIPF1,WIPF1,0.32448822441928415,1.6396625121892288e-23,9.0846808465209e-22
DLG4,DLG4,0.32420725059104677,1.7982221928554224e-23,9.93439803943104e-22
CCT8,CCT8,0.3238290547585643,2.0358094308530143e-23,1.1214552527595207e-21
GNB3,GNB3,0.323480386616476,2.2822093259626247e-23,1.253575611085505e-21
ZC3HC1,ZC3HC1,0.3229259082568454,2.736079829366378e-23,1.4900332176164763e-21
PDHB,PDHB,0.32254716800502903,3.09628707184663e-23,1.6766438350806896e-21
ILF3,ILF3,0.32184741900695324,3.889357434177716e-23,2.0942272494171e-21
MAPRE2,MAPRE2,0.32182340510644825,3.919872685097357e-23,2.1047293925740444e-21
NREP,NREP,0.3208269467812349,5.418017880899936e-23,2.8688479721164067e-21
ZKSCAN2,ZKSCAN2,0.32017124661144125,6.69963838867476e-23,3.518230434052693e-21
AMPD2,AMPD2,0.31958455043508094,8.097765068200271e-23,4.2292016196351955e-21
WDR82,WDR82,0.3190665920628514,9.569376304058353e-23,4.9571443916551605e-21
SGTA,SGTA,0.31886718422408833,1.0203861708726156e-22,5.271535582764878e-21
PARP1,PARP1,0.3186118106444007,1.107745171200806e-22,5.707425592318978e-21
FAM53C,FAM53C,0.31844304514440547,1.1694919779301716e-22,6.009365365090116e-21
MON1A,MON1A,0.31791064269337893,1.3874422433039849e-22,7.110176536395622e-21
RAD54L2,RAD54L2,0.3178077322590418,1.4339814421941901e-22,7.329025472604798e-21
ANKRD44,ANKRD44,0.3177728806523981,1.4500894374607984e-22,7.391589225883509e-21
CHST10,CHST10,0.3176606231963437,1.5031987248529748e-22,7.641926496160802e-21
RNF138,RNF138,0.3171265247696473,1.7834047726023862e-22,8.994665495592246e-21
DYNC1LI1,DYNC1LI1,0.3168898758067758,1.9235052497510982e-22,9.650341955116074e-21
EPS15L1,EPS15L1,0.3165924450641725,2.1150988146116101e-22,1.0556165493812253e-20
S100PBP,S100PBP,0.3165214065947973,2.16357974066136e-22,1.0770006964255701e-20
MAZ,MAZ,0.3164822608402655,2.190762717983357e-22,1.0876994637468017e-20
ADSL,ADSL,0.31625556111504394,2.354950294242612e-22,1.1631750613552332e-20
TUBB,TUBB,0.31557670080011047,2.9228594761055307e-22,1.4362585831814196e-20
PIAS2,PIAS2,0.31551637807681127,2.9794322467422186e-22,1.4603037793968593e-20
TYMS,TYMS,0.31543239306295356,3.0600020432079046e-22,1.4959575206117416e-20
USP48,USP48,0.3153820673946387,3.1093087507390026e-22,1.5161846114891845e-20
ATP6V1B2,ATP6V1B2,0.31531159892327,3.1796720633356492e-22,1.546550419609693e-20
MTR,MTR,0.314931462686661,3.5872607604383007e-22,1.7359617578678006e-20
POLR1E,POLR1E,0.3149116675103324,3.6098448345111446e-22,1.7424793942343568e-20
TOP2B,TOP2B,0.3146041033945559,3.979334964643746e-22,1.9111805992252563e-20
DHPS,DHPS,0.31444752047644337,4.181555367382871e-22,2.0032689435469568e-20
CHAF1A,CHAF1A,0.31400677121900655,4.806888872286639e-22,2.2856637013372914e-20
EIF2B3,EIF2B3,0.3135690533907396,5.5191656929692575e-22,2.6113577282452318e-20
SFPQ,SFPQ,0.3128630787828901,6.893641900350681e-22,3.213950364029348e-20
ZNF546,ZNF546,0.3128111907104605,7.007072170202376e-22,3.258885268453003e-20
DDR2,DDR2,0.3125307628070795,7.652767380118401e-22,3.5419527474809505e-20
ATP5F1A,ATP5F1A,0.3121906755056716,8.51509804840257e-22,3.922074679402774e-20
ZMYM4,ZMYM4,0.31202449266897636,8.97071105714448e-22,4.1219986023393444e-20
UBA52,UBA52,0.3116996287163524,9.932026416844057e-22,4.520254403761289e-20
DPY19L3,DPY19L3,0.3116125859060752,1.0206439264272264e-21,4.634111319158297e-20
ARHGEF6,ARHGEF6,0.3115825365274534,1.0302901799586377e-21,4.666823883864777e-20
SYNGAP1,SYNGAP1,0.3112536800374094,1.1419258063128885e-21,5.13597924415785e-20
ZNF583,ZNF583,0.3112453182058982,1.1449148528627112e-21,5.1373350733499357e-20
WDCP,WDCP,0.310890899927857,1.2789683440412336e-21,5.685460441011206e-20
MAP1S,MAP1S,0.31073004736525117,1.3448143350301478e-21,5.964298379141827e-20
C1orf123,C1orf123,0.31048671413666373,1.4508383720686399e-21,6.404798032815716e-20
ARID1A,ARID1A,0.3103593974760346,1.5095599368987338e-21,6.633388090533171e-20
RRP1B,RRP1B,0.3102185731446992,1.5772482090448566e-21,6.883356053856719e-20
TTC3,TTC3,0.31018074681968727,1.5959348413721827e-21,6.917527095879654e-20
PHF21A,PHF21A,0.3096943991654194,1.8565899010886993e-21,7.99295404488975e-20
RAF1,RAF1,0.3096066040000483,1.9079332627599747e-21,8.195538048911666e-20
AP1S2,AP1S2,0.30918225483773903,2.1765521651665053e-21,9.3075603215118e-20
LARS,LARS,0.3090905839545795,2.2393132145840917e-21,9.500423598820119e-20
PPM1D,PPM1D,0.3086088231586236,2.5997068056415234e-21,1.0994114068548167e-19
E2F2,E2F2,0.3083485241176743,2.81767867265609e-21,1.1889608792013502e-19
CHMP7,CHMP7,0.30828568108637217,2.872950793247126e-21,1.2096135333242028e-19
ATP6V1G2,ATP6V1G2,0.30824085782751753,2.913026898625595e-21,1.2237914102687527e-19
DOT1L,DOT1L,0.308032698641211,3.1064946265483466e-21,1.2970304368878753e-19
FBXO5,FBXO5,0.3078763883523127,3.260063621739861e-21,1.357649588879247e-19
RAB39B,RAB39B,0.3075248386731093,3.633371874077905e-21,1.5065488801084413e-19
CHERP,CHERP,0.3074528612352133,3.7148566873369824e-21,1.5370018523473252e-19
PBRM1,PBRM1,0.3073635367972284,3.818492840227079e-21,1.576468480365888e-19
KDM8,KDM8,0.30680870169115965,4.529248759620521e-21,1.8618621514009949e-19
CNOT9,CNOT9,0.3065028732611733,4.975325584324603e-21,2.02778994764104e-19
TBC1D24,TBC1D24,0.3064362347695622,5.078134610599467e-21,2.065288150672528e-19
KRI1,KRI1,0.30619869878908323,5.461958541038249e-21,2.2073010044808906e-19
HNRNPDL,HNRNPDL,0.3060825391922894,5.65994781146767e-21,2.2824873927469307e-19
FUS,FUS,0.30581260452364334,6.147822241411676e-21,2.4736060803749657e-19
HDHD2,HDHD2,0.30575706298169747,6.2532419208782916e-21,2.5058851009976635e-19
SLC25A38,SLC25A38,0.3056787903834128,6.40484210714731e-21,2.5612668802954147e-19
MAD2L2,MAD2L2,0.3051956259607417,7.424307609495996e-21,2.938212007360579e-19
IP6K1,IP6K1,0.30490703134433006,8.108006574633383e-21,3.1955576427653007e-19
CNPY4,CNPY4,0.3048746074080554,8.188602004138168e-21,3.220681631874508e-19
KDM2B,KDM2B,0.3046725289266453,8.709031730180059e-21,3.418339661650756e-19
STX2,STX2,0.30464001058603074,8.795775452429813e-21,3.445312454368768e-19
BCL2,BCL2,0.3046237476327963,8.839476818037047e-21,3.455349680506711e-19
DDX49,DDX49,0.30444649135906343,9.329919630631798e-21,3.639620688561772e-19
ARHGAP33,ARHGAP33,0.3043092226785008,9.728093342997594e-21,3.779522444134126e-19
HNRNPR,HNRNPR,0.30413508661886474,1.0257423602719363e-20,3.975489840510019e-19
GPANK1,GPANK1,0.3041297495343148,1.0274088313952129e-20,3.975489840510019e-19
CDKN2C,CDKN2C,0.3040401224044301,1.0557970135088718e-20,4.0770828107519365e-19
TNRC6C,TNRC6C,0.30383358029442253,1.1241983508596722e-20,4.332470055782789e-19
SRSF10,SRSF10,0.3037672258068591,1.1470880589286195e-20,4.411788379561482e-19
HMG20A,HMG20A,0.3034919204716298,1.2470742374330187e-20,4.786711656331757e-19
UBR7,UBR7,0.3034558051301644,1.2608132955512196e-20,4.829748726345002e-19
INTS9,INTS9,0.30340142175673634,1.2817842905568474e-20,4.900261342798828e-19
MICU3,MICU3,0.3033148500621675,1.3158800280451181e-20,5.020568210794896e-19
DNMT1,DNMT1,0.30317763293387423,1.3717649565271197e-20,5.216351972621055e-19
POLR3D,POLR3D,0.30317549877872985,1.3726523893426056e-20,5.216351972621055e-19
SCMH1,SCMH1,0.3030511166179744,1.4253643895131063e-20,5.405920695544251e-19
ZNF184,ZNF184,0.30285795773199814,1.5112095905632674e-20,5.708848087671315e-19
SLC25A33,SLC25A33,0.3027364362775497,1.5678119984320393e-20,5.910991390538152e-19
AAAS,AAAS,0.3026083517430514,1.6297370972474e-20,6.132367049977175e-19
PCNT,PCNT,0.30239964600298275,1.735851341793165e-20,6.506038901642421e-19
GTF2H2C,GTF2H2C,0.30223299455296315,1.825456206884074e-20,6.828492249430347e-19
SMARCAD1,SMARCAD1,0.3017380455560515,2.1193754532815684e-20,7.897049081769431e-19
MYL6B,MYL6B,0.30141903284727045,2.3330878153801086e-20,8.639049416179035e-19
YTHDF2,YTHDF2,0.30117219754999214,2.512919998149612e-20,9.25519571572829e-19
ZCCHC18,ZCCHC18,0.3010915580567439,2.5745836236114826e-20,9.46407037794875e-19
CARD8,CARD8,0.3010251967061733,2.626447308471532e-20,9.632624636887897e-19
CDC25A,CDC25A,0.30102004636035085,2.6305153337460016e-20,9.632624636887897e-19
RBMX,RBMX,0.3004232220034435,3.146572746350376e-20,1.1456521532664274e-18
A1BG,A1BG,0.3002980763900617,3.266838609565371e-20,1.1871790878677199e-18
DOCK11,DOCK11,0.3000208365868292,3.5496613421147983e-20,1.2850715256538707e-18
TRO,TRO,0.2999069578192487,3.672715164575806e-20,1.322108293236658e-18
CBX5,CBX5,0.29977359044945195,3.822187927716422e-20,1.373329365381568e-18
HIRIP3,HIRIP3,0.2997238924539783,3.879409535794393e-20,1.3912741702947434e-18
ZBTB40,ZBTB40,0.29955618351439683,4.0788187098708116e-20,1.4600490569134939e-18
CLPP,CLPP,0.29951378082466473,4.1308178571153794e-20,1.4731452115440387e-18
PPP2R3C,PPP2R3C,0.29949472725711124,4.154396090380326e-20,1.4787948094528852e-18
KHDRBS1,KHDRBS1,0.2994461088724758,4.21516344273357e-20,1.4976366023764348e-18
TTC21B,TTC21B,0.29934954946647235,4.338464306668731e-20,1.5385852545820555e-18
GAMT,GAMT,0.29933421910053815,4.358365024910321e-20,1.5427805083548294e-18
MTMR9,MTMR9,0.29922778311281545,4.4990380335823276e-20,1.589632384693645e-18
WDR7,WDR7,0.2988789936899789,4.9921642571020396e-20,1.750097212043829e-18
SCAF4,SCAF4,0.29887442191937963,4.998969802646773e-20,1.750097212043829e-18
PCM1,PCM1,0.2987593921428087,5.173248924970607e-20,1.8077998757004233e-18
VIM,VIM,0.29867148559904266,5.310463572362975e-20,1.852363342805078e-18
PRRC2A,PRRC2A,0.2986325325435309,5.372408469475246e-20,1.867156143527624e-18
NPRL2,NPRL2,0.29855239061010597,5.502105009985352e-20,1.908761111903267e-18
PHF13,PHF13,0.29789575972468585,6.687873520730633e-20,2.295129306081976e-18
ATRIP,ATRIP,0.2978661837625378,6.746843380349631e-20,2.3112170468706667e-18
ANAPC5,ANAPC5,0.2974437278517023,7.64733635624331e-20,2.61033632945698e-18
ELAVL1,ELAVL1,0.297423869107732,7.692467049549563e-20,2.6210607424623864e-18
MCM6,MCM6,0.29739210099008784,7.765209860371369e-20,2.641138549483963e-18
ITPRIPL1,ITPRIPL1,0.29724551620218503,8.109748931145369e-20,2.7388312865520093e-18
L3MBTL2,L3MBTL2,0.29713629174838724,8.376240574869071e-20,2.823841950416619e-18
PLEKHO2,PLEKHO2,0.2966524922289303,9.664360327526598e-20,3.240951713345104e-18
CUEDC2,CUEDC2,0.29638273023137424,1.0465535493982254e-19,3.485169180617958e-18
MAK16,MAK16,0.29623231108870074,1.0940367872955438e-19,3.630644650894847e-18
KAT2B,KAT2B,0.29616695941574056,1.115323070487001e-19,3.694870102661876e-18
CEP85L,CEP85L,0.29574649248334395,1.2623883520459396e-19,4.160440232647954e-18
EXOG,EXOG,0.2956412791121539,1.302085359539083e-19,4.276522619860751e-18
R3HDM1,R3HDM1,0.2954312428808084,1.3850511041406324e-19,4.53343353692606e-18
SF3A3,SF3A3,0.2953391545134586,1.4230512224800525e-19,4.649850276530975e-18
ZNF671,ZNF671,0.29522632770338997,1.4710133785745454e-19,4.798365312534545e-18
HDGFL2,HDGFL2,0.29486955683313326,1.6334145682148023e-19,5.283032059462935e-18
SNRNP40,SNRNP40,0.29472267913910366,1.705301601126434e-19,5.496937623192544e-18
AP4B1,AP4B1,0.29467466427908423,1.7294718714316412e-19,5.565463774817478e-18
TXNL4A,TXNL4A,0.2945915669123062,1.7721034615213287e-19,5.673837746633057e-18
FBXO10,FBXO10,0.2945859500267,1.7750222194541292e-19,5.673837746633057e-18
PMS1,PMS1,0.2944999637160378,1.8203006694907982e-19,5.808855976179735e-18
SACS,SACS,0.29438729937110464,1.8813554583504293e-19,5.9837120775987445e-18
ATP5MC2,ATP5MC2,0.29402741636510543,2.0902346179699243e-19,6.615038861340249e-18
TOE1,TOE1,0.2939672547459867,2.1273178635824987e-19,6.721269580558589e-18
ARHGAP19,ARHGAP19,0.2939135779502686,2.1609512560884729e-19,6.816267864708111e-18
TNKS,TNKS,0.2937719962803321,2.2522021401953084e-19,7.092396031274022e-18
FBXL7,FBXL7,0.29376513747606825,2.2567179533330714e-19,7.094928236506853e-18
UBE2G2,UBE2G2,0.29335453455595195,2.5439693152184323e-19,7.958751793846208e-18
USP13,USP13,0.2933098835200538,2.5773017279594225e-19,8.035616915640079e-18
ASNSD1,ASNSD1,0.29330476482942963,2.5811502935929943e-19,8.035616915640079e-18
ZMYM3,ZMYM3,0.2931141564261679,2.7285694981510995e-19,8.466981486551666e-18
ZNF764,ZNF764,0.29303274594000955,2.794036377080526e-19,8.64208637374321e-18
MAP3K3,MAP3K3,0.29303274025313497,2.794041003909654e-19,8.64208637374321e-18
POLA1,POLA1,0.2929227519528499,2.884955588050341e-19,8.894504204126173e-18
ATP13A1,ATP13A1,0.29290433756222645,2.9004591916674623e-19,8.927902970808943e-18
SAMD1,SAMD1,0.29279578273227114,2.993538980434645e-19,9.199597686657274e-18
CCDC88A,CCDC88A,0.292756500675019,3.0279420869859e-19,9.290387318256096e-18
JADE1,JADE1,0.292737231498276,3.044960248866351e-19,9.312706425132847e-18
DACT3,DACT3,0.2925183610299215,3.2450100620099356e-19,9.892881552682604e-18
DPF1,DPF1,0.2924286267729659,3.3307258047024116e-19,1.0138029260650733e-17
NUDT3,NUDT3,0.2923067932313706,3.4506872512350327e-19,1.045323087279836e-17
FMC1,FMC1,0.2921980462391863,3.5613564204618746e-19,1.0771412654608977e-17
TMSB15A,TMSB15A,0.2921271695032893,3.635362718159624e-19,1.0977876517791661e-17
DYM,DYM,0.2920206987974987,3.7493940903915957e-19,1.130436404382261e-17
LONP1,LONP1,0.2918337693443131,3.958193362083904e-19,1.185906992417458e-17
ST3GAL3,ST3GAL3,0.2915695557386138,4.2730085472452738e-19,1.278224700791759e-17
PAICS,PAICS,0.2913496111001728,4.553811419725452e-19,1.3550486908073135e-17
MPHOSPH9,MPHOSPH9,0.2913462952546334,4.558181052519501e-19,1.3550486908073135e-17
TATDN2,TATDN2,0.29131790193779183,4.595767567212364e-19,1.3641008858270859e-17
DCLRE1B,DCLRE1B,0.29123581508972146,4.706160295152146e-19,1.392542632226521e-17
ZNF407,ZNF407,0.29120399208602965,4.749656653757538e-19,1.4032409109207934e-17
ELK1,ELK1,0.29118107883201694,4.781220245058873e-19,1.4060465382200055e-17
FKBP7,FKBP7,0.29114600908621946,4.829930733730731e-19,1.4181893390977407e-17
USP22,USP22,0.29104433267079277,4.973938639265658e-19,1.456000567987183e-17
PPP5C,PPP5C,0.2907159341698219,5.468601906953916e-19,1.593480570905855e-17
NARF,NARF,0.2905049158758719,5.811739704536943e-19,1.6883192165991437e-17
RABEP1,RABEP1,0.2904413159050065,5.919262884287819e-19,1.7169455240236976e-17
SUGP1,SUGP1,0.29020809897636923,6.33059511305668e-19,1.8307008409391593e-17
FAM156A,FAM156A,0.289863760139203,6.989946378287051e-19,2.0152763954895468e-17
RFX7,RFX7,0.28948996737958643,7.782458087980082e-19,2.2336589542303193e-17
ZNF804A,ZNF804A,0.2894831049086054,7.797806569819729e-19,2.2347087343643796e-17
TAF5,TAF5,0.28942419737841013,7.930791851373753e-19,2.2694174586678038e-17
CCAR2,CCAR2,0.289409572189987,7.964153621669459e-19,2.2755574959373948e-17
C18orf54,C18orf54,0.2889773598593883,9.015050204719965e-19,2.5567163896620496e-17
SLC9B2,SLC9B2,0.28872893922928367,9.67976436098882e-19,2.7352712470647652e-17
TOMM40L,TOMM40L,0.2887261238304417,9.68756805787521e-19,2.7352712470647652e-17
ACTR8,ACTR8,0.28849837076347856,1.0339834933861713e-18,2.906558011187745e-17
SCFD2,SCFD2,0.2884701273326223,1.0423681111777588e-18,2.92582473497252e-17
ZNF684,ZNF684,0.2884052901354766,1.0618707371183915e-18,2.976196354841357e-17
KLRG1,KLRG1,0.2884001348789259,1.0634367571292858e-18,2.976221612375739e-17
NR2C2,NR2C2,0.2881823897326072,1.1317023281429887e-18,3.158027737584413e-17
THAP3,THAP3,0.28814469227525247,1.1439519574574651e-18,3.182917273187692e-17
CNRIP1,CNRIP1,0.28810559999146557,1.156792900038273e-18,3.213967483173196e-17
ZBTB17,ZBTB17,0.2880742546228148,1.1671917254259979e-18,3.2381523703219086e-17
ASH2L,ASH2L,0.2879359560059569,1.2141835219571383e-18,3.363640293074014e-17
CLSPN,CLSPN,0.2878987143099489,1.2271533094390437e-18,3.3946505803078616e-17
SMARCC1,SMARCC1,0.2878273787362151,1.252379178837388e-18,3.4544340553357394e-17
SGO1,SGO1,0.2878149290873714,1.2568337540926533e-18,3.4617258226917966e-17
PRKAR2B,PRKAR2B,0.28766439121573584,1.31194962284574e-18,3.6083333871505493e-17
C19orf44,C19orf44,0.28759162766663615,1.3394378592151698e-18,3.673919493661544e-17
DDHD1,DDHD1,0.2875910980183119,1.3396400141679812e-18,3.673919493661544e-17
SMARCD1,SMARCD1,0.28725374387992,1.474706172795548e-18,4.03276230228711e-17
ZNF668,ZNF668,0.2871864457088542,1.5032141703457781e-18,4.104848409451364e-17
CHAF1B,CHAF1B,0.28704350294464864,1.5655805222582946e-18,4.262973174211866e-17
ANK2,ANK2,0.286930328097242,1.6167623695152786e-18,4.396075774293677e-17
UBL7,UBL7,0.2868733038811809,1.6431722596877704e-18,4.46153945226303e-17
NASP,NASP,0.2868333476922887,1.6619303020577303e-18,4.506070599125322e-17
EID2B,EID2B,0.28658342732425657,1.78414230272712e-18,4.823745419608048e-17
HMBOX1,HMBOX1,0.2865595019513908,1.7962964342181868e-18,4.84974665820348e-17
RPAIN,RPAIN,0.28647808577766953,1.838270654143785e-18,4.95607102312531e-17
SACM1L,SACM1L,0.2864624351267746,1.8464494601909084e-18,4.9711100607815796e-17
TMEM201,TMEM201,0.2864525049433952,1.8516574220032437e-18,4.978119778001688e-17
CCDC167,CCDC167,0.2864396981882664,1.8583954094226942e-18,4.98921745099927e-17
FSD1,FSD1,0.2863999705133221,1.8794513961436258e-18,5.0386694862952885e-17
QRICH1,QRICH1,0.2863521010240299,1.905135211074294e-18,5.100372487350858e-17
PLCXD1,PLCXD1,0.2863240523642551,1.9203448302603138e-18,5.1339008993602657e-17
EZH2,EZH2,0.2861862299698346,1.9968367936510884e-18,5.330940685843653e-17
KCTD6,KCTD6,0.2861659846754185,2.0083231432263023e-18,5.3541278776528265e-17
NPIPA1,NPIPA1,0.2861423981460248,2.021787335200728e-18,5.38251600450723e-17
GSTM2,GSTM2,0.28598792876463575,2.1121910993306496e-18,5.592040562840078e-17
POLH,POLH,0.2859314571247839,2.1462264280023353e-18,5.674290203494417e-17
ZNF771,ZNF771,0.2858912563088877,2.1707842162811853e-18,5.72981542348938e-17
TCF3,TCF3,0.2857324901943544,2.270507343054734e-18,5.96984152166317e-17
DIXDC1,DIXDC1,0.28570906116709105,2.285600808393865e-18,6.00127190280889e-17
MBD3,MBD3,0.285540782878654,2.3969542083875326e-18,6.267822119470271e-17
CYB5RL,CYB5RL,0.28552935253149553,2.4047089569497956e-18,6.279509796734336e-17
CAND2,CAND2,0.2854246265003497,2.476919889680365e-18,6.452277026357827e-17
KIF15,KIF15,0.28542362541752997,2.477620370047944e-18,6.452277026357827e-17
RBM15B,RBM15B,0.28540334494464914,2.491853198964038e-18,6.480513455537086e-17
MAU2,MAU2,0.28537679869999355,2.510605193476089e-18,6.520410091480359e-17
FARSA,FARSA,0.2852950584431946,2.56922357550938e-18,6.663596831188847e-17
TTI2,TTI2,0.2852900368431723,2.5728683769934198e-18,6.664007998134041e-17
CBX2,CBX2,0.2852313429497523,2.615849643384021e-18,6.766165890837018e-17
RAB11FIP3,RAB11FIP3,0.28508417740963726,2.7267549869731185e-18,7.04350291567448e-17
HNRNPL,HNRNPL,0.2848802997557829,2.8880927122761054e-18,7.440147196112905e-17
KATNB1,KATNB1,0.28483634703846994,2.9240883451418584e-18,7.522738723739789e-17
UBA2,UBA2,0.2844687323115115,3.2429880178517067e-18,8.309613399629406e-17
GIT2,GIT2,0.2842791824412102,3.4205734241157598e-18,8.7412113639001e-17
ESPL1,ESPL1,0.28415099654991377,3.546065907449448e-18,9.049806384632335e-17
CGGBP1,CGGBP1,0.2840616260877343,3.6362322825340235e-18,9.267544010751715e-17
