,count
TNS4,1
SMPDL3A,1
STX16,1
THAP7,1
UBE2K,1
BLVRB,1
KIF6,1
LIFR,1
EZR,1
UAP1,1
CCDC25,1
CFAP90,1
ELF3,1
RNF181,1
JADE2,1
FGFR1OP2,1
SLC25A28,1
GIT2,1
AJM1,1
NOTCH2,1
MIB1,1
POMK,1
ONECUT1,1
SOX4,1
ACTG1,1
ADRA1D,1
PRAMEF12,1
FBXL7,1
CBX7,1
SLC11A2,1
ATP6V0A1,1
SPPL3,1
EHBP1L1,1
EPS8L2,1
ITGB1,1
DUSP10,1
KRTAP24-1,1
DDA1,1
WDCP,1
ERGIC2,1
MYO10,1
LMO4,1
MAGEB6,1
DDOST,1
RXRA,1
CTNND2,1
KATNB1,1
CST3,1
SCP2,1
DDAH2,1
CCDC86,1
KIF20A,1
PTGER1,1
GNA15,1
GORASP2,1
ACCS,1
SEC63,1
GLMN,1
FOCAD,1
PGBD2,1
NTHL1,1
RSPH9,1
CKAP2L,1
ACAP2,1
LGALS14,1
HIPK4,1
DYRK1B,1
KCNC3,1
EDRF1,1
DUSP3,1
ASPDH,1
STIP1,1
NEMF,1
SLC25A33,1
CDC25A,1
NUDT13,1
PCNX1,1
TGFBR1,1
SPATA33,1
MYL3,1
UPK3B,1
TRIT1,1
RBM34,1
SPRING1,1
IFI6,1
PICALM,1
CD151,1
IER3IP1,1
GALNS,1
PRPS1,1
ANXA1,1
PTHLH,1
KCTD11,1
PPCDC,1
SASS6,1
RNF146,1
GPRC5A,1
NCEH1,1
MTHFD2L,1
DLG1,1
UBAC2,1
CYP2C18,1
CHMP7,1
ARSB,1
DEFB125,1
RAB5A,1
ZNF180,1
BCHE,1
PUDP,1
TAX1BP1,1
LGR5,1
FZD8,1
TGFBRAP1,1
GLIS3,1
PCBD1,1
EMILIN1,1
AKAP13,1
RNF122,1
NR3C1,1
CRELD2,1
VASH1,1
ATG4A,1
FAM83D,1
SLC12A7,1
ATR,1
MBOAT7,1
KCNK5,1
TAGLN3,1
UGP2,1
FGFR1,1
DDX17,1
UMPS,1
C4orf51,1
DVL1,1
PRKCZ,1
DAND5,1
GPR68,1
SLCO4A1,1
CUL9,1
KLHL25,1
GHSR,1
PEX10,1
FOXK1,1
CDH26,1
NUP133,1
IL1RL1,1
C12orf71,1
PATE2,1
LEMD2,1
NPFFR2,1
NUP188,1
RBIS,1
RESF1,1
TGM6,1
CAND2,1
ZBTB7A,1
CACNA1A,1
RBM47,1
PEX1,1
POC1B,1
ACBD7,1
LYPD6,1
PLCD1,1
HGF,1
CNN1,1
TRMT2B,1
CCR8,1
ITIH4,1
TLN2,1
BMP7,1
CAPN5,1
SCN10A,1
CDC42BPB,1
NXF3,1
POC1A,1
