,count
AP5S1,1
RPL7A,1
DUSP1,1
SIM2,1
AKAP13,1
CSTF2T,1
GYG2,1
ARHGDIA,1
BAG6,1
GPR31,1
GPM6B,1
ISG15,1
DIAPH1,1
BCAP31,1
RPS21,1
YAF2,1
ID1,1
SHMT2,1
GPRC5C,1
ROGDI,1
LOXL2,1
DGAT2L6,1
CNOT9,1
SEMA4B,1
SELENOI,1
NOC3L,1
COG5,1
NKD2,1
SIMC1,1
HCST,1
PIGM,1
APP,1
XIAP,1
SBSN,1
CRIP1,1
RAB11A,1
LZTS3,1
DGKD,1
PDXK,1
AMD1,1
ATIC,1
PDCD6,1
PPCDC,1
BCAT1,1
SLC25A32,1
IDH3A,1
GFPT1,1
H2AC21,1
CMTR2,1
RAD51D,1
PFAS,1
TDG,1
FOXC2,1
GAB1,1
ALG10,1
UNC45A,1
ASH1L,1
RELB,1
APEX2,1
MED10,1
SAMD11,1
IQCG,1
MECP2,1
RFX2,1
FNDC3B,1
CCDC183,1
C1orf174,1
ASIC3,1
PRSS8,1
EXOC1,1
ALG5,1
ZNF786,1
PYCARD,1
FLOT2,1
FLOT1,1
MCTS1,1
FIG4,1
CLPB,1
MTX2,1
GART,1
KCNH1,1
CHCHD3,1
ITPK1,1
LIPT1,1
FARSA,1
CCDC25,1
MTHFD1,1
HTRA2,1
CORO1C,1
SMC4,1
TEAD1,1
MGRN1,1
NUP188,1
PSMD1,1
CXCL12,1
CLPTM1,1
SENP2,1
LENEP,1
ACTG2,1
AAK1,1
BICC1,1
HNRNPUL1,1
MMADHC,1
SLC12A7,1
TIA1,1
KIDINS220,1
C19orf25,1
LUC7L,1
ATP8B1,1
TBC1D10A,1
LLGL2,1
LRRC20,1
SRSF6,1
ERP44,1
NUP54,1
PPCS,1
ONECUT2,1
NOTCH2,1
VPS4B,1
CELF4,1
YLPM1,1
PLA2G12B,1
ANXA7,1
C1orf141,1
LRIT1,1
YIF1B,1
AGTPBP1,1
GPR15LG,1
DYDC2,1
EGFR,1
FCRL2,1
GPR101,1
SHC1,1
ICE1,1
BRAF,1
MAPK1,1
TLN1,1
ZNF638,1
ARHGEF7,1
ZNF3,1
LRRC32,1
NTHL1,1
CBLL1,1
SIX3,1
SPATA7,1
ATF4,1
RMND5A,1
WARS1,1
PMEPA1,1
TBX6,1
ADAM30,1
FGF4,1
WNT3,1
IRAG1,1
MYL11,1
LDAF1,1
AGTR1,1
DDX51,1
CMTM5,1
DIRAS3,1
KCNS1,1
XRCC1,1
NMBR,1
FGFR2,1
SLC12A5,1
POLQ,1
CIP2A,1
TEX30,1
RHNO1,1
C1orf112,1
ACTL9,1
GLMN,1
ATM,1
CENPP,1
TNFAIP3,1
DCP2,1
KCNE2,1
TOPBP1,1
NBN,1
FSTL3,1
USP14,1
GPR84,1
CAND1,1
CENPQ,1
EVC,1
OLFM2,1
MFSD5,1
DYNAP,1
GPX6,1
C1orf43,1
ZDHHC14,1
TMPRSS11D,1
FEZ2,1
OTUD6A,1
TMPRSS9,1
TIFA,1
SEC14L3,1
MAMSTR,1
TRIM2,1
FKBP11,1
GABBR2,1
NLRP1,1
TRIM34,1
CYP2U1,1
C11orf52,1
MAGEB17,1
PGBD1,1
MICU2,1
TXLNB,1
MICU3,1
FAM81B,1
HPGD,1
BEX3,1
ISLR,1
ARRDC4,1
STX7,1
OSTM1,1
DMTN,1
LIN52,1
MTG1,1
BCAR3,1
LCE1B,1
BRAP,1
EFNA1,1
BRK1,1
COPRS,1
CDK8,1
OSBPL11,1
MED7,1
SNAI2,1
ATPAF2,1
OSBPL9,1
TNS4,1
PMM2,1
PITRM1,1
RBBP7,1
ADAP2,1
MED23,1
TBC1D2,1
LSS,1
TIMM10B,1
EIF4E1B,1
CDC42BPB,1
SQLE,1
DAO,1
CCN4,1
MYRF,1
AGPAT2,1
CARD14,1
FOSL2,1
SLC7A5,1
ARID1B,1
MAPRE3,1
SLC3A2,1
ACTG1,1
UPF3A,1
KSR2,1
H4C2,1
TLE3,1
MED1,1
BAG5,1
HDAC1,1
WRAP73,1
LRRC8C,1
PDE4D,1
CDC40,1
ABCD4,1
NABP1,1
WDR7,1
B3GNT2,1
TTC4,1
GPATCH1,1
ARF1,1
PDS5B,1
ZEB1,1
GANAB,1
ZBTB7A,1
RAB35,1
CFLAR,1
AP2B1,1
MAP2K3,1
INSRR,1
PDCD2L,1
NUSAP1,1
SCN5A,1
MYL12B,1
PRUNE1,1
SCYL1,1
YIPF6,1
NEDD4L,1
TMEM201,1
MORC2,1
PRKCE,1
PRMT3,1
RCE1,1
KLF6,1
ACSL3,1
RAF1,1
MTOR,1
NSDHL,1
IFNA14,1
C1orf116,1
SLC6A19,1
GLB1L3,1
PEX2,1
UGP2,1
ANGPTL5,1
LINGO4,1
SLC22A14,1
TVP23A,1
USP22,1
MBTD1,1
SSC4D,1
MYH7,1
SAV1,1
GALNT16,1
CNMD,1
TPTE2,1
MAGEE1,1
TRHR,1
MTR,1
TGIF1,1
ARHGAP29,1
MMACHC,1
CHRM5,1
MMP8,1
SCRT1,1
SLURP2,1
CIDEC,1
THAP7,1
SCN11A,1
PPP3R2,1
TMEM123,1
LRTM2,1
SLC23A3,1
STXBP1,1
PRPS1,1
IQGAP3,1
MMP27,1
PGR,1
HEATR9,1
SFTA2,1
MYH3,1
PRR30,1
HSBP1,1
ZC3H13,1
MSMO1,1
ACAT2,1
RAD54L,1
ERMP1,1
WASF2,1
PIGT,1
RXRA,1
PIGU,1
SNX17,1
KRTAP10-11,1
BARHL1,1
LRRC37B,1
KDF1,1
GRHL2,1
DNAJA2,1
TMEM41A,1
XDH,1
TOPORS,1
CSMD3,1
KCTD19,1
RNF224,1
CAMK4,1
NRIP1,1
TSR3,1
RAB15,1
NPC1,1
NLGN3,1
H3-5,1
RBPMS,1
PPP1R16A,1
PKIB,1
ARRDC3,1
SLC5A8,1
ARL4C,1
GNPNAT1,1
RAB1A,1
CYB5B,1
EIPR1,1
TPK1,1
GPR151,1
MND1,1
COQ9,1
STARD5,1
RNF168,1
HLTF,1
VSIR,1
CACNB2,1
ATL3,1
TKT,1
B3GALT5,1
PRKCZ,1
KLHL21,1
FAAP20,1
ZNF524,1
NFAT5,1
NEK1,1
ASF1A,1
SEC11C,1
PDE1B,1
PEDS1,1
RNF149,1
MRPL14,1
BLTP1,1
BTBD1,1
FAR1,1
TRIP4,1
HSP90B1,1
SLC4A7,1
DVL1,1
SDF4,1
SERHL2,1
ZNF623,1
BTRC,1
LAG3,1
RRP1,1
UAP1,1
CLPP,1
GP6,1
AKT2,1
CAMTA1,1
PANK4,1
USP20,1
MEGF6,1
GORASP2,1
PLEKHG5,1
GPR153,1
CLPX,1
CCNL2,1
SMARCA2,1
SMCHD1,1
TRUB1,1
PLEKHA3,1
ARHGEF39,1
TRIM36,1
MACROH2A1,1
GRK6,1
MORN1,1
CTSK,1
PHIP,1
GBA1,1
KIR2DL3,1
TNNI3,1
HSF1,1
MTIF3,1
DIAPH3,1
SCLY,1
MAN1A2,1
GABRD,1
USP36,1
HS6ST1,1
CUL4B,1
SHISA7,1
HES3,1
ATOSA,1
SREBF2,1
MECOM,1
MAP2K5,1
BMAL1,1
CRK,1
PEX11B,1
PTPMT1,1
RPP14,1
C3orf38,1
POP4,1
PA2G4,1
AVL9,1
PGD,1
PPP2R5E,1
REX1BD,1
CABIN1,1
ZNF703,1
SPOCK3,1
PLAT,1
MPND,1
PLPP5,1
NR5A1,1
COPS7A,1
MOGAT3,1
CXXC1,1
PIK3C3,1
VPS52,1
PWWP3A,1
KCNK5,1
CABP2,1
PLEKHG1,1
CASTOR2,1
NFE2L1,1
MRPL13,1
CHCHD7,1
CHD7,1
PREPL,1
DPF2,1
COQ7,1
SMARCC1,1
MRPL10,1
ESRP2,1
LETM2,1
MARK3,1
NIBAN2,1
MPI,1
FBXL18,1
ASNS,1
CENPT,1
GGNBP2,1
ALDH18A1,1
PIF1,1
TRAPPC14,1
TCF7L2,1
MRPL28,1
MRM3,1
MTRFR,1
TGFBR3,1
MAPK7,1
VCPIP1,1
PIP4K2A,1
CFAP410,1
TAX1BP3,1
IRF6,1
DAZAP2,1
AP3M2,1
ERLIN2,1
TMEM270,1
TMEM154,1
PLPBP,1
NKX6-3,1
DYNLT2B,1
SGO2,1
MIDN,1
TAF1A,1
FCHO2,1
AKAP8,1
RNF121,1
CCDC96,1
MAP2K7,1
PSEN1,1
WIF1,1
