ProteinID,GeneName,corr,p-value,q-value
DHSO,SORD,-0.284008860265792,0.088466306289098,0.8409547907438316
AIF1L,AIF1L,-0.2841133892199982,0.1150446530665523,0.8605477979041835
RAB6C,RAB6C,-0.2841461968493408,0.103389485476459,0.8531114314254873
ABCF1,ABCF1,-0.2841942478831384,0.0882495901682535,0.8409547907438316
RASF6,RASSF6,-0.2843051469071508,0.127845198640166,0.8607168042053948
ST2B1,SULT2B1,-0.2844182501231213,0.127687048631835,0.8607168042053948
DDA1,DDA1,-0.2845967699483039,0.1028198952872399,0.8531114314254873
Q32Q12,NME1-NME2,-0.2847275208832697,0.0876284814024895,0.8409547907438316
VPS50,VPS50,-0.2847330680136423,0.1026480636155454,0.8531114314254873
A0A3B3IRR3,FBRSL1,-0.2848479491957388,0.1140678767985762,0.8605477979041835
F5H527,SSH2,-0.2848569315976961,0.1024920968630457,0.8531114314254873
CASP6,CASP6,-0.2851676191264504,0.1021016746566328,0.8531114314254873
INGR1,IFNGR1,-0.2852074138224827,0.1135921447161515,0.8605477979041835
ISY1,ISY1,-0.2853869321261572,0.086865127202201,0.8409547907438316
IPP2,PPP1R2,-0.2855290901078957,0.0867012355273968,0.8404964658607491
OAS3,OAS3,-0.2856094814953299,0.0866086593133369,0.8404964658607491
MALD2,MARVELD2,-0.285754662712017,0.1128707392818677,0.858168209276806
BID,BID,-0.2859504662614795,0.0862168400884123,0.8404964658607491
SEPT7,SEPTIN7,-0.2863641814335821,0.100608548428601,0.8531114314254873
DUS11,DUSP11,-0.2865258558339764,0.1004080808992078,0.8531114314254873
ITB6,ITGB6,-0.2867437344551274,0.0853106087506795,0.8343585841409413
GOGA5,GOLGA5,-0.2868877965553152,0.0851468249529745,0.8336820238729021
ITA2,ITGA2,-0.2869045372201514,0.0851278083169616,0.8336820238729021
TR61B,TRMT61B,-0.2869421459380873,0.0998932988395935,0.8531114314254873
FGFP1,FGFBP1,-0.2871545107093043,0.1464221694947859,0.8721100310825372
A0A0C4DGV4,LAMTOR5,-0.2873609393690439,0.0846106203159566,0.8336820238729021
D3DWX8,FAM3A,-0.2876089194538043,0.1104518435944454,0.8540644567910141
IASPP,PPP1R13L,-0.2876723564368962,0.0842591247077205,0.8336820238729021
RN115,RNF115,-0.2877896836891358,0.1454917752308662,0.8721100310825372
TRMB,METTL1,-0.2878376676070154,0.0840729981394842,0.8336820238729021
A0A499FI48,PDIA4,-0.2880808672991803,0.0837997542598536,0.8336820238729021
UBP33,USP33,-0.2882331833922938,0.0983095489684165,0.8531114314254873
UBA6,UBA6,-0.2885779688054901,0.0832433816476861,0.8336820238729021
PLPL4,PNPLA4,-0.2887632997564262,0.1089656919382268,0.8531114314254873
PAR12,PARP12,-0.2890458081405928,0.0973225172068335,0.8531114314254873
AMGO2,AMIGO2,-0.2891415193790727,0.0920542276383238,0.8522376786073917
RHG27,ARHGAP27,-0.2891489409234657,0.0920455042742664,0.8522376786073917
S35F2,SLC35F2,-0.2891989120139571,0.1608742781217708,0.8721100310825372
NDUA2,NDUFA2,-0.2893512100176884,0.0823836366169631,0.8315745771691629
CLP1L,CLPTM1L,-0.2894774214735972,0.0822439616005335,0.8315745771691629
SH24A,SH2D4A,-0.2895242321777167,0.0821922040865571,0.8315745771691629
NDUS5,NDUFS5,-0.2897799982786797,0.0819098552787521,0.8315745771691629
PDZ11,PDZD11,-0.2898223857469447,0.0818631350838062,0.8315745771691629
RHDF2,RHBDF2,-0.2898683183728358,0.0818125306934971,0.8315745771691629
GLRX3,GLRX3,-0.2902485331556556,0.0813945758231443,0.8315745771691629
MFS11,MFSD11,-0.2903291154681425,0.0957791678163525,0.8531114314254873
NFAC2,NFATC2,-0.2906210144025415,0.1066056417249093,0.8531114314254873
OSBL7,OSBPL7,-0.2909104102947524,0.0950862521279548,0.8531114314254873
ZFP91,ZFP91,-0.2910063526943859,0.0949722552915623,0.8531114314254873
RAD,RRAD,-0.2910136380621717,0.0949636032237187,0.8531114314254873
A0A494C039,HYOU1,-0.2912141984021894,0.0803405060945613,0.8315745771691629
CLD12,CLDN12,-0.2918569454785649,0.1050569391588644,0.8531114314254873
AL3B1,ALDH3B1,-0.2919045530485577,0.093910081648555,0.8531114314254873
CLCN2,CLCN2,-0.2923830448528008,0.1757913902759412,0.8721100310825372
ES8L1,EPS8L1,-0.2924271165548749,0.0882538302807128,0.8409547907438316
PSB8,PSMB8,-0.2925234188828546,0.1042288679539261,0.8531114314254873
PGK2,PGK2,-0.2926145905695145,0.0880406769265747,0.8409547907438316
MPP5,MPP5,-0.2929108527643346,0.0785142424503402,0.8292979211664165
NED4L,NEDD4L,-0.2929906213051687,0.1036513237904809,0.8531114314254873
J9JID5,ZNF236,-0.2931117597073614,0.1378624304529552,0.868484345414517
PLCL2,PLCL2,-0.2934943347655263,0.1030313524651534,0.8531114314254873
TRNT1,TRNT1,-0.293624481789979,0.0777558197471172,0.8292979211664165
NECT4,NECTIN4,-0.2937432846551164,0.1151368422298039,0.8605477979041835
UBE2K,UBE2K,-0.2938719299525542,0.0774941758744487,0.8292979211664165
NCLX,SLC8B1,-0.2941525902031864,0.1022253927477694,0.8531114314254873
JUNB,JUNB,-0.2943859044280089,0.0769529074781181,0.8292979211664165
LIN7A,LIN7A,-0.2943905797801425,0.1143010307466471,0.8605477979041835
AVR2A,ACVR2A,-0.2945761702072327,0.1017092895950523,0.8531114314254873
A0A2R8YDH4,A0A2R8YDH4,-0.2949103061482986,0.0764036994383926,0.8292979211664165
DSG2,DSG2,-0.2949309832294237,0.0763821070507898,0.8292979211664165
EPIPL,EPPK1,-0.2949978771543288,0.0763122845496162,0.8292979211664165
E9PAU2,RAVER1,-0.2956022867144393,0.0756836687002936,0.8292979211664165
CC134,CCDC134,-0.2958255953017061,0.075452441683979,0.8292979211664165
DAPK1,DAPK1,-0.2970262788545035,0.0880257622043679,0.8409547907438316
J3KQ70,INO80B-WBP1,-0.2970508960289447,0.1176148893785603,0.8607168042053948
CA050,C1orf50,-0.2970611064208088,0.0741830687982551,0.8292979211664165
A0A2R8Y783,EPB41,-0.2977445090113266,0.0872237527080706,0.8409547907438316
SDCB2,SDCBP2,-0.297852853294093,0.0822434535169898,0.8315745771691629
F8W031,F8W031,-0.2981879354785589,0.073039965528249,0.8271347561517767
RLP24,RSL24D1,-0.2982463257000659,0.0866667406052656,0.8404964658607491
RAP2C,RAP2C,-0.2985818846231058,0.0726435943681959,0.8271347561517767
SSRG,SSR3,-0.299027932288108,0.1657254280043001,0.8721100310825372
B4DUC8,MTAP,-0.2990903284478982,0.0721345155508738,0.8244479261145269
TPSNR,TAPBPL,-0.2991836980122324,0.080818714112015,0.8315745771691629
HOOK2,HOOK2,-0.2999280327824549,0.0713018630184334,0.820300888657738
IGSF8,IGSF8,-0.2999696405010725,0.0847746763984536,0.8336820238729021
ITB4,ITGB4,-0.29999545146614,0.0712351798242097,0.820300888657738
TYPH,TYMP,-0.3004291726093562,0.0842755588833632,0.8336820238729021
PHS,PCBD1,-0.3004702822456105,0.0794595973966335,0.8309056570364248
WIPF2,WIPF2,-0.3006267078843008,0.0706131788858541,0.820300888657738
A0A590UJK3,SLMAP,-0.300719797312743,0.0705218158485988,0.820300888657738
PEX1,PEX1,-0.3008268146074672,0.0838454927708837,0.8336820238729021
SIAS,NANS,-0.3008843633544539,0.0703605286340689,0.820300888657738
TES,TES,-0.3013698067984115,0.0698864425994354,0.820300888657738
MRCKG,CDC42BPG,-0.3014862529427651,0.0783989257286358,0.8292979211664165
CPSF7,CPSF7,-0.3015139453533768,0.0697461601153353,0.820300888657738
EPHA1,EPHA1,-0.3017212900468645,0.0990292265449497,0.8531114314254873
INF2,INF2,-0.3021022089901749,0.0691759245648513,0.820300888657738
A0A3B3IS55,ABLIM1,-0.3021460848389908,0.0691335405348642,0.820300888657738
WASL,WASL,-0.3026280803305406,0.0686692749421099,0.820300888657738
MUC5A,MUC5AC,-0.3030287089972763,0.0682852507387168,0.820300888657738
ORC4,ORC4,-0.3030567734784307,0.0814649664729365,0.8315745771691629
A0A075B752,ANXA8L1,-0.3031296966645894,0.0917033487492178,0.8522376786073917
I3L0U5,CCDC137,-0.3032533690341722,0.0680706419859867,0.820300888657738
HID1,HID1,-0.3035809014921741,0.0809131032483387,0.8315745771691629
IF4H,EIF4H,-0.3035882588528946,0.0677517200422287,0.820300888657738
LRC59,LRRC59,-0.3038244630952646,0.0675274859328479,0.820300888657738
STAR3,STARD3,-0.3040234223281665,0.0907028279589946,0.8522376786073917
PP14C,PPP1R14C,-0.3041955735941273,0.1229099108247298,0.8607168042053948
A0A5F9ZHQ6,EFCAB14,-0.3043437478854711,0.080115058417925,0.8315745771691629
ARFP1,ARFIP1,-0.3044068713524998,0.0669770868097701,0.820300888657738
DUS10,DUSP10,-0.3044596954287621,0.1304678064462826,0.8607168042053948
EPS15,EPS15,-0.3046454065213169,0.0667526834987113,0.820300888657738
IFIT1,IFIT1,-0.304651936851614,0.0797943815970298,0.8311443151690625
A2BF26,HLA-C,-0.304765496712612,0.0666399322319013,0.820300888657738
RASF5,RASSF5,-0.3048894398988683,0.0897412943219372,0.8481434992223528
RAB5B,RAB5B,-0.3049467127155066,0.0794885915662399,0.8309056570364248
TMUB2,TMUB2,-0.3050317456742061,0.0794005501724959,0.8309056570364248
XDH,XDH,-0.3051180747959721,0.0746969274440469,0.8292979211664165
MX2,MX2,-0.3053128936799802,0.0791099925568077,0.8308906488803215
DHPR,QDPR,-0.3053588979448438,0.0660849944776679,0.820300888657738
PACN3,PACSIN3,-0.3054785821607385,0.0659735105583262,0.820300888657738
HAT1,HAT1,-0.3056427691448368,0.0787701271012585,0.8292979211664165
DYH3,DNAH3,-0.3057191657542596,0.1209513928712217,0.8607168042053948
GRHL2,GRHL2,-0.3060613637247536,0.0654327750646613,0.820300888657738
RETR3,RETREG3,-0.306228258973353,0.0781696924484115,0.8292979211664165
ORC2,ORC2,-0.3066332317353038,0.0777564622429231,0.8292979211664165
LRAT2,LRATD2,-0.3067065447316273,0.064838224127031,0.820300888657738
WDR43,WDR43,-0.3067453960769211,0.0648025581226205,0.820300888657738
NUDT6,NUDT6,-0.3071286442260302,0.1191600550450964,0.8607168042053948
EME1,EME1,-0.3071352727047549,0.0772465381986145,0.8292979211664165
NOP58,NOP58,-0.3071772813734429,0.0644071237202588,0.820300888657738
DNJC2,DNAJC2,-0.3071973981120512,0.0643887513507369,0.820300888657738
PPR37,PPP1R37,-0.307558184969344,0.0640599509650605,0.820300888657738
SVIL,SVIL,-0.3081937296544732,0.0634839778525951,0.820300888657738
MYO5C,MYO5C,-0.3082644982273489,0.0761090623773183,0.8292979211664165
BZW2,BZW2,-0.3084459623357455,0.0632565250030988,0.820300888657738
KIF3C,KIF3C,-0.308492740337447,0.0632144134400829,0.820300888657738
BPNT1,BPNT1,-0.3088587473252779,0.0628856825846696,0.820300888657738
ERBB3,ERBB3,-0.3091862628015663,0.0625926700830184,0.820300888657738
ENAH,ENAH,-0.3092142565717071,0.0850555608387114,0.8336820238729021
HYAS3,HAS3,-0.3094780342819493,0.1507196779373072,0.8721100310825372
PI42C,PIP4K2C,-0.3098500892317847,0.0620020883590377,0.820300888657738
STAT3,STAT3,-0.3100209628542115,0.0618507842546516,0.820300888657738
PTN6,PTPN6,-0.3100381734851776,0.0618355609047717,0.820300888657738
KIF3B,KIF3B,-0.310156232449581,0.0617312139193655,0.820300888657738
HERP2,HERPUD2,-0.3107787351208838,0.0946114484066539,0.8531114314254873
A0A0A0MTR7,RNF213,-0.3111348907720581,0.0830358571441035,0.8336820238729021
J3KQ32,OLA1,-0.3112682612648965,0.0607551662991441,0.820300888657738
RAB25,RAB25,-0.3115615427980571,0.0684655151682327,0.820300888657738
TRI25,TRIM25,-0.3123529543386803,0.0598149312295028,0.820300888657738
MP2K1,MAP2K1,-0.3124184506208507,0.0597585292337268,0.820300888657738
VANG1,VANGL1,-0.3128230987539332,0.0594110019954296,0.820300888657738
GCC2,GCC2,-0.3128496829771057,0.059388226706589,0.820300888657738
IFIT3,IFIT3,-0.3132136970191288,0.0590770641840535,0.820300888657738
RAB21,RAB21,-0.3132944818579755,0.0711995653099178,0.820300888657738
NNRE,NAXE,-0.3133609934664407,0.0711363445874989,0.820300888657738
NOP56,NOP56,-0.3133675777674248,0.0589459152681527,0.820300888657738
DBNL,DBNL,-0.3135424540518196,0.0587971530317798,0.820300888657738
SFXN1,SFXN1,-0.3135962836001523,0.0587514218252332,0.820300888657738
DDR1,DDR1,-0.3138533439586227,0.0706697162742341,0.820300888657738
LACC1,LACC1,-0.3140397678333724,0.1263174568196215,0.8607168042053948
OCAD1,OCIAD1,-0.3140466606160049,0.058369907061513,0.820300888657738
SPB5,SERPINB5,-0.3141492403292273,0.0582832874493883,0.820300888657738
OCRL,OCRL,-0.3142499836082008,0.0581983179599444,0.820300888657738
DTX2,DTX2,-0.3142996051935068,0.0702488373614367,0.820300888657738
H0Y5K5,ERGIC3,-0.3146311971418047,0.0699373755132998,0.820300888657738
A0A087WW40,SH3GLB1,-0.3147061895908203,0.0698670855032615,0.820300888657738
KIBRA,WWC1,-0.3147223210743899,0.0698519727694736,0.820300888657738
KIF5A,KIF5A,-0.3159466536899585,0.0687123952275953,0.820300888657738
TM87B,TMEM87B,-0.3165634890558565,0.0562739824090427,0.820300888657738
K0100,KIAA0100,-0.3165792829381829,0.0681292873181478,0.820300888657738
OAS1,OAS1,-0.3167898381137974,0.0679360756697971,0.820300888657738
LAD1,LAD1,-0.3168767614067312,0.0772172656880597,0.8292979211664165
ARHGH,ARHGEF17,-0.3171014949291819,0.0558338204084534,0.820300888657738
ARRD1,ARRDC1,-0.3171870324052356,0.0936247651108534,0.8531114314254873
TMX2,TMX2,-0.3172294801478959,0.0675340303952833,0.820300888657738
UBP42,USP42,-0.317894008168156,0.0669298708279372,0.820300888657738
CK052,C11orf52,-0.3184647105789364,0.1293497218534451,0.8607168042053948
A0A1W2PR17,PFKFB3,-0.3191836423849065,0.0657694861220894,0.820300888657738
IF2P,EIF5B,-0.319308286650095,0.0540569775731501,0.820300888657738
A0A087X1P3,CADPS2,-0.3193569221561901,0.0748036785982768,0.8292979211664165
COHA1,COL17A1,-0.3195040388314918,0.0539015683944361,0.820300888657738
GCSH,GCSH,-0.3195320698301345,0.0538793435848376,0.820300888657738
TRI26,TRIM26,-0.3195768680861273,0.0538438397827575,0.820300888657738
SHRM3,SHROOM3,-0.3200206412003334,0.0650248609906452,0.820300888657738
F8VSL3,NFYB,-0.3200634925465975,0.0608754196440073,0.820300888657738
CREB1,CREB1,-0.3202507402758413,0.0533120279976513,0.820300888657738
F262,PFKFB2,-0.3205918892354067,0.0530444014506997,0.820300888657738
GOGA4,GOLGA4,-0.3208592233038836,0.0528354326390426,0.820300888657738
K7EP20,DOCK6,-0.320937578304041,0.1262367532389277,0.8607168042053948
TNF10,TNFSF10,-0.3210697853465973,0.1176008407627714,0.8607168042053948
NDUB1,NDUFB1,-0.3212724325082507,0.0639235941573666,0.820300888657738
LSM6,LSM6,-0.3214950857324779,0.0523410364737291,0.820300888657738
PSD10,PSMD10,-0.3215313750094947,0.0523129327704709,0.820300888657738
RGPS2,RALGPS2,-0.3216396882494967,0.063603297801873,0.820300888657738
PP6R3,PPP6R3,-0.3220507195869947,0.0519120542199743,0.820300888657738
PIGW,PIGW,-0.3224769867520377,0.0822107249976243,0.8315745771691629
ENPL,HSP90B1,-0.3225929314586447,0.0514961504034111,0.820300888657738
ARMX1,ARMCX1,-0.3237960666835259,0.0927860560688844,0.8531114314254873
DHCR7,DHCR7,-0.324251533061558,0.0502404508218623,0.8197453106657769
ZN512,ZNF512,-0.3243693785594762,0.0612620215450573,0.820300888657738
MYO5B,MYO5B,-0.3245748026593449,0.0610886148962807,0.820300888657738
KDM2B,KDM2B,-0.325166179160116,0.0605915707101323,0.820300888657738
EREG,EREG,-0.3251947723114516,0.0742486228393712,0.8292979211664165
FAAA,FAH,-0.3252237055317103,0.049515919096202,0.8197453106657769
D6RE79,MFSD10,-0.3254133128040626,0.1047634430896813,0.8531114314254873
KAP1,PRKAR1B,-0.3259977071885065,0.0559835316073835,0.820300888657738
L2GL2,LLGL2,-0.326005956516395,0.0489390355683466,0.8197453106657769
TAB3,TAB3,-0.326066254115915,0.0685669585306023,0.820300888657738
SP14L,SP140L,-0.3260811716740838,0.0786530091970643,0.8292979211664165
KS6B1,RPS6KB1,-0.3264240655200356,0.0486329138097801,0.8197453106657769
J3KQJ1,SUMF2,-0.3271568106761809,0.0481001381506778,0.8197453106657769
SPRY4,SPRYD4,-0.3271704205917838,0.0589307237377929,0.820300888657738
PKP3,PKP3,-0.3275208431286389,0.047837200750648,0.8197453106657769
B4DLN1,B4DLN1,-0.327694407747743,0.0477122438628982,0.8197453106657769
UN13D,UNC13D,-0.3279882742983621,0.0475012744743368,0.8197453106657769
TBCEL,TBCEL,-0.3279926008839746,0.066853419733512,0.820300888657738
HMGN5,HMGN5,-0.3281957652226168,0.0473527670962211,0.8197453106657769
GSTK1,GSTK1,-0.3284070951856929,0.0472018959761866,0.8197453106657769
I3L3Y9,GPS2,-0.3284965105583247,0.076335886158473,0.8292979211664165
RPA34,CD3EAP,-0.328537182573737,0.0471092173355234,0.8197453106657769
AFTIN,AFTPH,-0.3287340573906047,0.0576601467030404,0.820300888657738
CHKB,CHKB,-0.3291179783029203,0.0936801818265655,0.8531114314254873
GINM1,GINM1,-0.329266660644061,0.0572323497403573,0.820300888657738
AB17C,ABHD17C,-0.3293125904164684,0.0656986978055506,0.820300888657738
PSA,NPEPPS,-0.3294140659583885,0.0464883078234426,0.8197453106657769
PPAC,ACP1,-0.3294890534007385,0.0464355174075441,0.8197453106657769
GORS2,GORASP2,-0.3295439321366376,0.046396913907903,0.8197453106657769
IN80D,INO80D,-0.3298562717871425,0.0699567424275824,0.820300888657738
A0A0G2JMP8,TMC4,-0.3299575054771179,0.0863877341425738,0.8404964658607491
BT3L4,BTF3L4,-0.330141867956343,0.0459779780705152,0.8197453106657769
G5E9C0,SP110,-0.3313756588680529,0.0639252407475456,0.820300888657738
ES8L2,EPS8L2,-0.3314817666051129,0.0517452922576536,0.820300888657738
POF1B,POF1B,-0.3319634010005839,0.0551047088577555,0.820300888657738
TNIP2,TNIP2,-0.3321335089922645,0.0729464718073749,0.8271347561517767
Q5EP54,HLA-DPB1,-0.3322986060520651,0.0727954220945147,0.8271347561517767
SORCN,SRI,-0.3326264399772361,0.0442697081582865,0.8133204504252007
F111B,FAM111B,-0.3333549483919701,0.0540316453420872,0.820300888657738
ERN1,ERN1,-0.3335636790262288,0.0620855859317169,0.820300888657738
NLTP,SCP2,-0.3338557561418131,0.0434436361372321,0.8133204504252007
CBWD1,CBWD1,-0.3343602067878887,0.0532668412163452,0.820300888657738
LTOR1,LAMTOR1,-0.3346315000503852,0.0429287932823802,0.8133204504252007
5NT3A,NT5C3A,-0.3346501490624662,0.0429164773471451,0.8133204504252007
FPRP,PTGFRN,-0.3346649179539736,0.0429067258966161,0.8133204504252007
CAH2,CA2,-0.3352146137716258,0.0425450503295247,0.8132472527196785
GRB7,GRB7,-0.3354488949442823,0.0605340848383812,0.820300888657738
DPOE4,POLE4,-0.3354762713972491,0.0488225062248706,0.8197453106657769
RPE,RPE,-0.3360492384759154,0.0420006209904156,0.8098675539771174
CYB5,CYB5A,-0.3364337838311477,0.059735751200449,0.820300888657738
E9PF32,DENND3,-0.3371964934227932,0.0511553134548979,0.820300888657738
ACAD8,ACAD8,-0.3372005708049421,0.0511523267357581,0.820300888657738
NSUN4,NSUN4,-0.3372947435782933,0.0411986686903304,0.8067614855537588
KCD14,KCTD14,-0.3378036151737619,0.0586391920444425,0.820300888657738
GRM2B,GRAMD2B,-0.338205956650588,0.050420104219343,0.8197453106657769
GDAP2,GDAP2,-0.3383342757374665,0.040538873281714,0.8002304550403606
REN3B,UPF3B,-0.3383829021897648,0.0405082208248923,0.8002304550403606
Q5LJA5,UCHL5,-0.3384468512963798,0.0467358204651837,0.8197453106657769
A0A0C4DFX9,NELFA,-0.338716890160103,0.0402981935300347,0.8002304550403606
K7EPT8,GFAP,-0.3391470274021539,0.0835258057257025,0.8336820238729021
H0YBZ2,CD74,-0.3393642637352293,0.0495869008278733,0.8197453106657769
DEN1B,DENND1B,-0.3394315004743574,0.1130716039261018,0.8587066287243302
DESI1,DESI1,-0.3397017716326476,0.0571459886661043,0.820300888657738
HTRA2,HTRA2,-0.3397258086522282,0.0493290947993615,0.8197453106657769
GILT,IFI30,-0.3399259799418544,0.0712010372675186,0.820300888657738
B4GT3,B4GALT3,-0.3406129919831249,0.0956889652537125,0.8531114314254873
E9PKC0,PLEKHA7,-0.341160734546436,0.0483164329730381,0.8197453106657769
PHF8,PHF8,-0.3412891061249879,0.0387100817895945,0.797556897590502
FN3K,FN3K,-0.3416174668247757,0.0445881990636681,0.8133204504252007
ANO9,ANO9,-0.341676419770291,0.0751500515102645,0.8292979211664165
MALD3,MARVELD3,-0.3421211481879946,0.0552864384835676,0.820300888657738
H2AY,MACROH2A1,-0.3421910637010735,0.0381653960758963,0.797556897590502
B5MCA4,EPCAM,-0.3422689322212519,0.0381186655246146,0.797556897590502
IFRD1,IFRD1,-0.34226951656084,0.0475453807889106,0.8197453106657769
TRPT1,TRPT1,-0.3423636783090803,0.0474803566158298,0.8197453106657769
GRHL1,GRHL1,-0.3427658791581144,0.0547990575080008,0.820300888657738
TAC2N,TC2N,-0.3428933921019679,0.1092108851274742,0.8531114314254873
TSN15,TSPAN15,-0.3429590703016769,0.0377065289459548,0.7955060720226004
TBC24,TBC1D24,-0.3431017363391675,0.0545465180487433,0.820300888657738
LAMA3,LAMA3,-0.3431506278817698,0.0375927795705186,0.7955060720226004
UBP43,USP43,-0.3432314270149538,0.0796389896276312,0.8310509826025962
CP3A5,CYP3A5,-0.3433631016185478,0.0682085471521202,0.820300888657738
OCLN,OCLN,-0.344641603811049,0.0459288859114974,0.8197453106657769
J3KQL8,APOL2,-0.3446683738067687,0.0367013569320995,0.7950050659938608
MGST1,MGST1,-0.3454935042312677,0.0362240021458115,0.7950050659938608
BCCIP,BCCIP,-0.3455698622980382,0.0361800844542748,0.7950050659938608
TMM94,TMEM94,-0.346242279343293,0.0522293776147649,0.820300888657738
FLVC1,FLVCR1,-0.3465504539810536,0.0446603284464993,0.8133204504252007
AF17,MLLT6,-0.3469773946346947,0.0516984446025074,0.820300888657738
RPR1A,RPRD1A,-0.3469840163393133,0.0353745409599694,0.793292498283841
MAL2,MAL2,-0.3480660394589161,0.0436732911972359,0.8133204504252007
VAS1,ATP6AP1,-0.3481725184615003,0.0347089071357862,0.7907066786974719
A0A2R8Y5V8,FRY,-0.3483371490542409,0.0507276676781544,0.820300888657738
HTSF1,HTATSF1,-0.3493975575393072,0.0340335507400968,0.7853438028865682
F16P1,FBP1,-0.3496556538108094,0.0338926427574603,0.7853438028865682
RBM47,RBM47,-0.3498756702970251,0.0337729013700829,0.7853438028865682
A0A140T9T7,TAP1,-0.3502709742625224,0.0335586309113417,0.7853438028865682
KAD4,AK4,-0.3503843255295492,0.0334973955492742,0.7853438028865682
ARI4B,ARID4B,-0.3503905635506461,0.0334940282596904,0.7853438028865682
SORL,SORL1,-0.3514410833437935,0.0415382339953445,0.8088265844882225
EGFR,EGFR,-0.3514523481986705,0.0329248966084305,0.7853438028865682
A0A0J9YWL0,CRYBG1,-0.3517702010324227,0.0327560709250935,0.7853438028865682
KIF7,KIF7,-0.3517834944387765,0.0846209014650689,0.8336820238729021
INAVA,INAVA,-0.3523048503652507,0.0410055606592391,0.8047683753434632
IMB1,KPNB1,-0.3527405181853174,0.0322450717589311,0.7853438028865682
ICA69,ICA1,-0.353410702300128,0.0472326602325973,0.8197453106657769
