,feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
730,COA7,-2.095755833433128,0.03610385614239203,-0.28519624540958094,0.19123039915829643,-0.3360700543327143,0.6103001660357839
731,SDE2,-2.095755833433128,0.03610385614239203,-0.28519624540958094,0.19123039915829643,-0.15992824889536164,0.7148457615399308
732,HEAT1,-2.095755833433128,0.03610385614239203,-0.28519624540958094,0.19123039915829643,-0.8740165100330739,0.05393142572990087
733,ERLN1,-2.095755833433128,0.03610385614239203,-0.28519624540958094,0.19123039915829643,-0.8922273272305017,0.25568944709569674
734,TMED8,-2.092995838253714,0.03634952606659922,-0.2848206576383529,0.19240860954358333,-0.32642201047499436,0.37453922441067194
735,FYN,-2.0880349877073687,0.036794678710544426,-0.2841455713867555,0.19426839925949652,-0.8171896796185762,0.2714562104319298
736,HBAP1,-2.087648592074569,0.03682954529128149,-0.28409298960124446,0.194328632606991,-0.8609611501661595,0.06207223973066091
737,ASB6,-2.086996778999804,0.036888425707049824,-0.2840042890767528,0.19451541601349506,-0.94233177714605,-0.09251888875639482
738,GEMI,-2.079309840251016,0.03758888126107439,-0.28295822920905517,0.19531490157025413,-0.89923108815921,0.18013935210562063
739,NAA40,-2.079309840251016,0.03758888126107439,-0.28295822920905517,0.19531490157025413,-0.3226214718059337,0.384891597747214
740,A0A3B3ISV5,-2.079309840251016,0.03758888126107439,-0.28295822920905517,0.19531490157025413,-0.2529840564607476,0.5088737634997276
741,NOP9,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.8316142723097188,0.11070310348033843
742,MCM2,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.8255205727361666,0.13405636277555155
743,RL7L,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.819082187410251,0.42624633733260014
744,RL38,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.9740534183622269,0.46308630371126497
745,SYYC,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.5160068932594358,0.34906677181589046
746,YMEL1,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.6864810147527195,-0.199447009376297
747,NEPRO,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.5585972850359082,0.2566556054237153
748,RASA3,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.4889385246411321,0.1554210562627321
749,PRP39,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-1.0504251264221138,-0.2776580139994684
750,BRCA2,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.2112419376148366,0.3734693012005169
751,MTG1,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.6327825822368147,0.38128896657823125
752,CACO1,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-0.5113746885814929,0.15674242011455064
753,A0A494C0R8,-2.077843390412332,0.03772378591410027,-0.2827586706624905,0.19531490157025413,-1.152409010361546,0.13079714244877555
754,SKA1,-2.076930383433489,0.037807985006994047,-0.2826344261497258,0.19562857451464002,-0.7469218277811277,-0.019977839879074772
755,NSE4A,-2.0739033894608507,0.03808828420629213,-0.2822225044448678,0.1968330295476756,-0.6128572733940534,0.2881547788335567
756,CHRC1,-2.072890493972125,0.038182471913683506,-0.28208466682763755,0.19719675644199136,-0.9688771062032014,0.5012503739903577
757,ZWILC,-2.072476271212011,0.03822104691242829,-0.2820282982497416,0.19727299228819684,-0.7451305309300752,0.056922362258667765
758,WRP73,-2.070686028389181,0.038388146739653205,-0.28178467705909643,0.19801208442794965,-1.2089701292347956,-0.038760443433230894
759,H0YN33,-2.065700893499806,0.03885673088255548,-0.28110628612699,0.1986432986072005,-0.708320582510458,0.40085359665137577
760,DPH1,-2.0655911179772892,0.03886710381241719,-0.2810913475705226,0.1986432986072005,-0.8552053824645436,0.21330540709008564
761,ZFYV9,-2.0646725233620677,0.038953996071834474,-0.28096634267675813,0.1986432986072005,-0.8324617765193992,0.19479396882201105
762,S26A6,-2.0619758723421837,0.0392100331269852,-0.2805993749538097,0.1986432986072005,-0.8606775783646312,0.22204380038900265
763,BTD,-2.0619758723421837,0.0392100331269852,-0.2805993749538097,0.1986432986072005,-1.6388883217172472,-0.28122358926392693
764,A0A0C4DGP0,-2.060839349277234,0.039318369081738705,-0.28044471375436353,0.1986432986072005,-0.4596070688618814,0.38974715617821193
765,VPS72,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.49284639632025645,0.35784925605500645
766,LARP7,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.5387359059013141,0.34055236538550365
767,NOP56,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.7422948978385729,0.3930113699509185
768,IDH3A,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.6788271345502711,0.2745084639823909
769,H2AX,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.5398878661702857,0.29835640390453694
770,ACSL5,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.2672680787316995,0.6803581037514854
771,H12,-2.059930947391536,0.03940514265894609,-0.2803210959154001,0.1986432986072005,-0.6401515472727294,0.37810462503645137
772,VRK3,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.31357319528891764,0.2896159492046395
773,KAT6B,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.664797763383322,0.10847951241922729
774,CS047,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.673623961127171,0.15596291969907966
775,HPBP1,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.6618789683585996,0.09601166921190056
776,I2BP1,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.46541253066004507,0.38464902380873267
777,E5KLJ9,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.44608274589990565,0.4228690802524391
778,COX5A,-2.0595068893914825,0.03944570572294119,-0.28026338893087366,0.1986432986072005,-0.8074254470935092,0.5535972743335823
779,ALKB1,-2.0590546088807216,0.03948900745603478,-0.28020184134909754,0.19874054542271696,-5.5675625180877555,0.4758688571455046
780,NSE2,-2.0580800208863534,0.039582452536811065,-0.28006921672156176,0.19908988270488334,-0.4315460397480812,0.7585420547438586
781,CLOCK,-2.05654201983939,0.03973030035355557,-0.2798599212888436,0.19971226221411065,-0.5269827072401498,0.5894992722591097
782,APEX2,-2.0526319378642692,0.04010828761337408,-0.2793278265282047,0.2013679118722369,-0.7220129350155462,-0.008415061456793216
783,ATG2B,-2.051956704170308,0.04017387028851211,-0.2792359388611303,0.20157500997579303,-0.4649619941699223,0.20128654749479827
784,DNJA4,-2.0450266489797198,0.04085223090213786,-0.278292877799671,0.20235563687419192,-1.3887413116922755,-0.28915160160416786
785,F6S314,-2.0440745438316923,0.04094618352800978,-0.27816331269999633,0.20235563687419192,-0.6560948528558994,0.03300993087372221
786,USF2,-2.0440745438316923,0.04094618352800978,-0.27816331269999633,0.20235563687419192,-0.46825464055782656,0.31691665775628136
787,TRM1,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.6615459527288041,0.5324403703169883
788,RS7,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.5851265168674868,0.32891874643975844
789,RRP1B,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.3919226422862784,0.4131849920362254
790,S10AD,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.379995171596864,0.10527442343275457
791,RIOX1,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.39694358798648244,0.424050864074454
792,LSM6,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.4772049443248948,0.14654036946580523
793,NOP53,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.37526249120490773,0.42665665792682594
794,EXOS9,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.6119341720173901,0.23702182410300868
795,PYC,-2.04201850437074,0.04114969583426692,-0.27788352116830967,0.20235563687419192,-0.8856292868908214,0.19515948320025872
796,NCAS2,-2.040027766162335,0.04134756029582172,-0.27761261601152887,0.20235563687419192,-0.9046980829553557,0.06058813494931939
797,RM43,-2.039703938531949,0.04137982241246754,-0.27756854865269215,0.20235563687419192,-0.345972052807721,0.10077194417588438
798,IPRI,-2.039703938531949,0.04137982241246754,-0.27756854865269215,0.20235563687419192,-0.6285424803390371,0.16216133429853802
799,F5H619,-2.039703938531949,0.04137982241246754,-0.27756854865269215,0.20235563687419192,-0.41250838998778816,0.3174621086549232
800,LORF1,-2.039703938531949,0.04137982241246754,-0.27756854865269215,0.20235563687419192,-0.3873980500260958,0.2673120355595608
801,CCNB2,-2.039703938531949,0.04137982241246754,-0.27756854865269215,0.20235563687419192,-0.9126888913541281,0.4482606401643047
802,ZDHC6,-2.03880760411362,0.04146923310521792,-0.27744657298803654,0.20243437067980272,-0.794723412716464,0.08379760648328641
803,DHR13,-2.03880760411362,0.04146923310521792,-0.27744657298803654,0.20243437067980272,-0.7990402572810014,0.09611285595123897
804,CRTC3,-2.0362106585895887,0.04172920643232404,-0.27709317346449874,0.2035834782599366,-0.7630565688841423,0.38760315884704505
805,LYRM2,-2.0343730133085742,0.04191400066554931,-0.2768431016163477,0.20424445971377087,-0.44888717951991225,0.20484040986550497
806,E7EQ45,-2.031437137128605,0.0422106703854544,-0.27644357947251896,0.2055691907543235,-0.8001469342472535,-0.09570888449888552
807,RL5,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.1897006701104103,0.6041829089379641
808,ADDA,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.7268816056795464,0.16527505849446558
809,MED1,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.6950667754334214,-0.008374644989722742
810,HNRDL,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.6843660031153583,0.6060583094071832
811,SAP18,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.8547473359956147,0.13630179707805581
812,XPO1,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.6062461900778588,0.2820735399224484
813,BD1L1,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.29100409996455634,0.5941671710064597
814,J3KR72,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.54779424693865,0.2889465694386391
815,RL35A,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.8275186771011358,0.0421693637747787
816,CAF1B,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.6502575258755697,0.42867140527975506
817,RS3,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.14348102652478112,0.36613817119028946
818,NPA1P,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.34090668431610743,0.27899220610770453
819,RCC1,-2.024106061349944,0.04295924009696211,-0.2754459464212192,0.20582668881621405,-0.7114938645084935,0.2827321063729084
820,G5E9E7,-2.022482331840923,0.04312654706090201,-0.2752249848224747,0.20627039021507634,-0.89092539649044,-0.028221196353611082
821,RPIA,-2.0199009876724157,0.04339365882928553,-0.2748737083745107,0.20647505441803637,-0.2550014355900753,0.4369803738909509
822,ATG3,-2.0199009876724157,0.04339365882928553,-0.2748737083745107,0.20647505441803637,-0.47060732503980757,0.5169945804653318
823,PKHM2,-2.0199009876724157,0.04339365882928553,-0.2748737083745107,0.20647505441803637,-0.7412065588818557,0.05144914810531107
824,CPSM,-2.0199009876724157,0.04339365882928553,-0.2748737083745107,0.20647505441803637,-0.577681705676422,0.4438292697700921
825,RPB4,-2.0199009876724157,0.04339365882928553,-0.2748737083745107,0.20647505441803637,-0.4214123446282578,0.4520753549449317
826,RB15B,-2.0199009876724157,0.04339365882928553,-0.2748737083745107,0.20647505441803637,-0.9862321686512141,0.3651138934589255
827,COHA1,-2.01733405220868,0.04366066431006564,-0.27452439270291035,0.20750713892402972,-0.36255416627607306,0.5572725398142602
828,DBF4A,-2.0158105227158787,0.0438197928026748,-0.2743170665992745,0.2081440158127053,-1.189629821372206,0.13069563669319892
829,DCA11,-2.0078978427126284,0.04465414848317175,-0.27324028723783633,0.20984071453767036,-0.5931652139144966,0.37939235792836884
830,PNMA5,-2.006979507182985,0.0447518450639735,-0.27311531760115326,0.20984071453767036,-0.7364174937648565,0.1859276885738767
831,BASI,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.6390580451719206,0.2768455488831285
832,CNBP,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.29772553937622576,0.44527139112289676
833,DDX5,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.6572709269382122,0.26551114095106854
834,OGT1,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.7891368457963858,-0.18424558071013228
835,K7EM18,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.5755421768652701,0.219345395691228
836,TOE1,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.43347630548117533,0.4513317553597638
837,PPIL1,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.26925882307258,0.6152586266490314
838,IMP3,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.8247940750051633,-0.19543085887784856
839,BRCA1,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.6569283420623342,0.1579064723099762
840,PRP17,-2.006193618329148,0.0448355944871652,-0.2730083716741288,0.20984071453767036,-0.8499147148606347,0.2832912657302339
841,GLTP,-2.0030935826687664,0.0451672446766541,-0.2725865102545528,0.21040563852365254,-0.9804046547876785,0.011182260875869158
842,FBW1A,-2.001041395540499,0.045387929038794385,-0.27230724295894376,0.21040563852365254,-0.7844549337450382,0.31471249670326873
843,DONS,-2.001041395540499,0.045387929038794385,-0.27230724295894376,0.21040563852365254,-0.8480350513190619,0.13741345122388526
844,DCAF5,-2.001041395540499,0.045387929038794385,-0.27230724295894376,0.21040563852365254,-0.3717153144279216,0.31449709278277593
845,CDC45,-2.001041395540499,0.045387929038794385,-0.27230724295894376,0.21040563852365254,-0.39299584579878377,0.47506519710413503
846,WDR82,-2.000098036812882,0.04548967872958253,-0.2721788680963292,0.21040563852365254,-0.3374004229594706,0.392101852772933
